,POP_2015,active_living,community_space,food_choices,health_wellbeing,mobility,ID_HDC_G0,lng,lat
348,85.525,793,542,449,174,5000,6646.0,72.50167378161643,23.244867500038787
349,29.933,793,542,449,174,5000,6646.0,72.50272517811112,23.24486750003878
350,74.566,1830,1677,989,122,5000,6646.0,72.5037765746058,23.24486750003878
351,103.17,1944,1791,1103,236,5000,6646.0,72.50482797110048,23.244867500038783
352,72.928,1882,1730,1042,198,5000,6646.0,72.50587936759511,23.24486750003878
353,80.167,1966,1814,1126,279,5000,6646.0,72.5069307640898,23.244867500038787
354,81.761,2052,1899,1211,246,5000,6646.0,72.50798216058449,23.24486750003878
355,65.223,2063,1911,1222,310,5000,6646.0,72.50903355707916,23.244867500038787
356,54.662,2097,1945,1257,525,5000,6646.0,72.51113635006851,23.244867500038787
357,64.293,2295,2142,1454,722,5000,6646.0,72.51218774656319,23.244867500038787
358,10.361,2295,2142,1454,722,5000,6646.0,72.51323914305786,23.244867500038783
359,12.287,2121,1327,1501,1365,5000,6646.0,72.47615899398141,23.244032172129376
360,9.365,2025,1283,1456,1269,5000,6646.0,72.47721038639575,23.244032172129376
361,49.46,2032,1290,1464,1277,5000,6646.0,72.47826177881011,23.244032172129373
362,0.819,1839,1096,1270,1083,5000,6646.0,72.47931317122443,23.244032172129376
363,45.43,1413,670,844,657,5000,6646.0,72.4814159560531,23.244032172129376
364,33.497,1294,552,726,539,5000,6646.0,72.48246734846745,23.24403217212937
365,116.299,1272,529,703,516,5000,6646.0,72.4835187408818,23.244032172129373
366,70.072,1261,519,692,505,5000,6646.0,72.48457013329615,23.244032172129376
367,39.63,723,418,416,356,5000,6646.0,72.48667291812484,23.244032172129373
368,101.333,625,486,459,267,5000,6646.0,72.48772431053916,23.244032172129376
369,99.982,575,450,422,275,5000,6646.0,72.4887757029535,23.244032172129376
370,56.655,541,436,444,392,5000,6646.0,72.48982709536783,23.244032172129373
371,5.978,0,40,499,200,5000,6646.0,72.4908784877822,23.24403217212937
372,66.883,227,0,658,316,5000,6646.0,72.49192988019654,23.244032172129376
373,86.61,290,104,637,269,5000,6646.0,72.49298127261088,23.244032172129373
374,88.624,376,172,608,164,5000,6646.0,72.49403266502522,23.244032172129376
375,136.468,442,293,428,77,5000,6646.0,72.49508405743956,23.244032172129376
376,136.712,277,240,339,123,5000,6646.0,72.49613544985388,23.24403217212937
377,97.148,277,240,339,123,5000,6646.0,72.49718684226823,23.244032172129376
378,104.831,518,0,197,230,5000,6646.0,72.49823823468256,23.244032172129376
379,102.152,541,202,384,229,5000,6646.0,72.49928962709691,23.244032172129376
380,121.723,541,202,384,229,5000,6646.0,72.50034101951124,23.244032172129376
381,81.141,692,401,485,354,5000,6646.0,72.50139241192561,23.244032172129376
382,77.931,793,542,449,174,5000,6646.0,72.50244380433993,23.244032172129376
383,42.331,5000,5000,5000,5000,14,6646.0,72.50349519675429,23.24403217212937
384,66.906,1742,1589,901,33,5000,6646.0,72.50454658916861,23.244032172129376
385,90.794,1801,1648,960,189,5000,6646.0,72.50559798158295,23.24403217212937
386,61.371,1742,1590,902,247,5000,6646.0,72.5066493739973,23.244032172129376
387,73.105,1832,1680,992,381,5000,6646.0,72.50770076641165,23.24403217212937
388,86.698,1904,1752,1064,404,5000,6646.0,72.50875215882601,23.244032172129373
389,38.589,1985,1242,1416,1229,5000,6646.0,72.47692912371839,23.243196846208985
390,53.091,1884,1142,1315,1128,5000,6646.0,72.47798051205261,23.243196846208985
391,54.198,1803,1060,1234,1047,5000,6646.0,72.4790319003868,23.24319684620899
392,0.332,1541,798,972,785,5000,6646.0,72.480083288721,23.243196846208985
393,34.449,1475,733,906,719,5000,6646.0,72.48113467705518,23.243196846208992
394,43.106,1407,698,872,685,5000,6646.0,72.48218606538937,23.243196846208992
395,15.785,1335,592,766,579,5000,6646.0,72.48323745372358,23.24319684620899
396,42.486,1302,559,733,546,5000,6646.0,72.48428884205777,23.243196846208992
397,76.448,930,573,458,525,5000,6646.0,72.48534023039198,23.243196846208992
398,44.39,803,483,364,398,5000,6646.0,72.48639161872616,23.243196846208985
399,73.924,599,474,423,352,5000,6646.0,72.48744300706039,23.24319684620899
400,70.426,529,404,366,323,5000,6646.0,72.48849439539457,23.24319684620899
401,37.792,395,270,241,213,5000,6646.0,72.48954578372879,23.24319684620899
402,27.94,118,75,435,204,5000,6646.0,72.49059717206298,23.24319684620899
403,76.603,86,46,491,163,5000,6646.0,72.49164856039718,23.243196846208992
404,58.78,230,126,632,285,5000,6646.0,72.49269994873137,23.24319684620899
405,98.565,239,304,588,120,5000,6646.0,72.49375133706556,23.243196846208992
406,98.078,378,310,475,13,5000,6646.0,72.49480272539974,23.243196846208985
407,90.617,382,341,444,17,5000,6646.0,72.49585411373396,23.243196846208992
408,92.167,277,240,339,123,5000,6646.0,72.49690550206815,23.24319684620899
409,97.812,517,177,359,204,5000,6646.0,72.49900827873654,23.243196846208992
410,99.916,541,202,384,229,5000,6646.0,72.50005966707074,23.243196846208992
411,95.111,548,381,375,222,5000,6646.0,72.50111105540495,23.243196846208985
412,90.617,700,543,223,66,5000,6646.0,72.50216244373912,23.24319684620899
413,73.968,766,610,290,7,5000,6646.0,72.50321383207333,23.243196846208992
414,70.16,3299,3223,2879,2554,5000,6646.0,72.50426522040752,23.24319684620899
415,89.289,1621,1469,781,184,5000,6646.0,72.50531660874174,23.243196846208992
416,71.046,1651,1498,810,265,5000,6646.0,72.50636799707593,23.24319684620899
417,36.198,1768,1615,927,455,5000,6646.0,72.50741938541012,23.24319684620899
418,100.026,1754,1601,913,507,5000,6646.0,72.50847077374434,23.243196846208985
419,75.009,1755,1602,914,554,5000,6646.0,72.50952216207853,23.243196846208992
420,33.741,1970,1228,1402,1215,5000,6646.0,72.4766478742064,23.242361522277523
421,68.079,1945,1203,1377,1190,5000,6646.0,72.47769925846065,23.242361522277534
422,54.02,1736,993,1167,980,5000,6646.0,72.47875064271493,23.24236152227753
423,26.324,1688,946,1120,933,5000,6646.0,72.47980202696917,23.24236152227753
424,39.984,1807,1064,1238,1051,5000,6646.0,72.48085341122339,23.242361522277523
425,53.002,694,556,223,289,5000,6646.0,72.48611033249462,23.24236152227753
426,47.046,638,513,275,289,5000,6646.0,72.48716171674887,23.242361522277527
427,100.757,552,427,361,332,5000,6646.0,72.48821310100311,23.24236152227753
428,69.651,389,264,235,207,5000,6646.0,72.48926448525735,23.242361522277534
429,77.732,153,28,345,129,5000,6646.0,72.49031586951159,23.242361522277534
430,125.642,166,118,373,47,5000,6646.0,72.49136725376584,23.24236152227753
431,46.046,255,199,496,130,5000,6646.0,72.49241863802008,23.242361522277534
432,114.151,291,219,548,203,5000,6646.0,72.49347002227434,23.242361522277523
433,124.225,186,357,642,67,5000,6646.0,72.49452140652856,23.24236152227753
434,81.628,34,496,651,0,5000,6646.0,72.49557279078282,23.242361522277534
435,78.994,121,396,494,0,5000,6646.0,72.49662417503708,23.24236152227753
436,75.363,312,230,329,0,5000,6646.0,72.4976755592913,23.242361522277523
437,109.945,391,240,250,79,5000,6646.0,72.49872694354555,23.242361522277523
438,65.954,402,249,241,89,5000,6646.0,72.49977832779982,23.242361522277527
439,92.1,535,378,366,222,5000,6646.0,72.50082971205404,23.24236152227753
440,67.385,700,543,223,66,5000,6646.0,72.50188109630828,23.242361522277534
441,43.261,5000,5000,5000,5000,5000,6646.0,72.50398386481677,23.242361522277523
442,62.123,1542,1390,702,266,5000,6646.0,72.50503524907101,23.242361522277534
443,118.823,1469,1317,629,270,5000,6646.0,72.50608663332525,23.242361522277523
444,95.731,1598,1446,758,413,5000,6646.0,72.5071380175795,23.242361522277527
445,85.968,1690,1537,849,574,5000,6646.0,72.50818940183376,23.242361522277534
446,90.573,1703,1550,862,612,5000,6646.0,72.509240786088,23.242361522277527
447,79.392,1810,1658,970,719,5000,6646.0,72.51029217034224,23.242361522277523
448,37.46,1924,1181,1355,1168,5000,6646.0,72.47741801803392,23.241526200334906
449,59.356,1819,1076,1250,1063,5000,6646.0,72.47846939820838,23.241526200334906
450,74.389,1744,1001,1175,988,5000,6646.0,72.47952077838286,23.241526200334906
451,93.03,1781,1038,1212,1025,5000,6646.0,72.48057215855734,23.24152620033491
452,9.653,1225,880,726,820,5000,6646.0,72.48162353873181,23.241526200334903
453,0.0,1225,880,726,820,5000,6646.0,72.48267491890631,23.241526200334913
454,53.344,1453,733,907,697,5000,6646.0,72.48793181977872,23.24152620033491
455,55.592,421,296,77,16,5000,6646.0,72.4889831999532,23.241526200334906
456,48.981,207,82,291,53,5000,6646.0,72.4900345801277,23.24152620033491
457,100.292,198,102,345,4,5000,6646.0,72.49108596030217,23.241526200334906
458,95.975,241,178,423,35,5000,6646.0,72.49213734047665,23.241526200334906
