,POP_2015,active_living,community_space,food_choices,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
748,5.054,622,400,529,666,1675,1060,8294.0,77.79714356406438,9.45924702780916
749,37.506,654,544,278,278,1661,672,8294.0,77.7991560492661,9.459247027809159
750,106.307,737,628,361,361,1744,595,8294.0,77.80016229186697,9.45924702780916
751,122.25,862,753,486,486,1801,470,8294.0,77.80116853446782,9.459247027809162
752,42.372,896,787,521,521,1617,286,8294.0,77.80217477706867,9.45924702780916
753,78.177,1003,893,627,627,1713,382,8294.0,77.80318101966954,9.459247027809159
754,89.231,1125,1016,750,750,1770,503,8294.0,77.8041872622704,9.45924702780916
755,96.883,1273,1163,897,897,1727,647,8294.0,77.80519350487126,9.45924702780916
756,108.149,1283,1174,908,908,1737,657,8294.0,77.8061997474721,9.459247027809159
757,81.413,1480,1371,1105,1105,1934,854,8294.0,77.80720599007299,9.45924702780916
758,91.002,1549,1440,1173,1173,1870,912,8294.0,77.80821223267384,9.45924702780916
759,40.506,1512,1402,1136,1136,1807,849,8294.0,77.80921847527469,9.45924702780916
760,39.915,1795,1685,1419,1419,2031,1132,8294.0,77.81022471787554,9.45924702780916
761,62.802,1964,1855,1589,1589,2153,1302,8294.0,77.8112309604764,9.45924702780916
762,1.134,1964,1855,1589,1589,2153,1302,8294.0,77.81223720307727,9.459247027809162
763,97.781,4023,3681,3559,1298,4526,4598,8294.0,77.77288023921987,9.458434009344886
764,35.026,4046,3704,3582,1321,4549,4621,8294.0,77.77388648035223,9.458434009344888
765,0.756,4047,3705,3583,1322,4550,4622,8294.0,77.77489272148458,9.458434009344888
766,28.508,2143,1802,1679,617,2646,2719,8294.0,77.78193640941095,9.458434009344886
767,76.571,2143,1802,1679,617,2646,2719,8294.0,77.7829426505433,9.458434009344888
768,51.795,1947,1605,1483,240,2450,2522,8294.0,77.78394889167564,9.458434009344886
769,52.339,1857,1515,1393,330,2360,2432,8294.0,77.784955132808,9.458434009344888
770,54.134,1885,1543,1421,292,2388,2460,8294.0,77.78596137394031,9.458434009344886
771,73.17,1798,1456,1334,205,2301,2373,8294.0,77.78696761507265,9.458434009344886
772,29.476,1178,998,1127,998,2053,1657,8294.0,77.78998633846969,9.458434009344886
773,71.163,1178,998,1127,998,2053,1657,8294.0,77.790992579602,9.458434009344886
774,99.977,1042,862,991,905,1917,1522,8294.0,77.79199882073436,9.458434009344888
