,POP_2015,community_space,education,food_choices,health_wellbeing,mobility,ID_HDC_G0,lng,lat
119,50.509,642,508,997,329,836,3020.0,12.614472820872074,13.320763980879539
120,70.709,804,670,1009,491,891,3020.0,12.615487539355032,13.320763980879539
121,60.418,877,743,1000,563,882,3020.0,12.616502257837988,13.320763980879539
122,76.867,934,800,887,621,769,3020.0,12.617516976320944,13.320763980879539
123,25.91,1049,915,1002,736,884,3020.0,12.6185316948039,13.320763980879539
124,10.125,1255,1121,1208,942,1090,3020.0,12.620561131769815,13.32076398087954
125,0.199,1428,1294,1244,1115,1126,3020.0,12.62157585025277,13.320763980879539
126,0.017,1560,1426,1246,1251,1129,3020.0,12.622590568735722,13.32076398087954
127,57.812,563,188,458,1088,1001,3020.0,12.60328462230473,13.319946728319696
128,77.415,566,249,557,1092,1005,3020.0,12.604299338670604,13.319946728319696
129,36.118,542,360,684,1067,980,3020.0,12.605314055036473,13.319946728319696
130,44.965,638,455,780,1035,1076,3020.0,12.606328771402342,13.319946728319696
131,75.656,517,335,1014,610,717,3020.0,12.607343487768217,13.319946728319696
132,58.36,554,371,1050,646,754,3020.0,12.608358204134086,13.319946728319696
133,62.128,622,544,1223,622,738,3020.0,12.609372920499961,13.319946728319696
134,71.971,632,663,1281,506,750,3020.0,12.610387636865829,13.319946728319696
135,72.9,622,490,1085,310,759,3020.0,12.6114023532317,13.319946728319696
136,64.252,627,495,1090,315,766,3020.0,12.612417069597573,13.319946728319696
137,60.916,548,416,981,236,687,3020.0,12.613431785963442,13.3199467283197
138,65.497,608,474,835,295,717,3020.0,12.614446502329317,13.319946728319696
139,73.996,654,520,811,340,693,3020.0,12.615461218695188,13.3199467283197
140,68.502,735,601,892,422,774,3020.0,12.616475935061056,13.3199467283197
141,85.2,866,732,865,553,747,3020.0,12.61749065142693,13.3199467283197
142,70.859,1049,915,1002,736,884,3020.0,12.618505367792801,13.3199467283197
143,15.304,1066,932,882,778,764,3020.0,12.619520084158673,13.3199467283197
144,0.133,1407,1273,1094,1145,976,3020.0,12.621549516890417,13.3199467283197
145,0.017,1423,1289,1109,1160,992,3020.0,12.622564233256284,13.3199467283197
146,72.087,524,150,496,1049,963,3020.0,12.603258328816576,13.319129476814714
147,23.537,524,150,496,1049,963,3020.0,12.604273043065506,13.319129476814714
148,36.351,444,262,766,970,883,3020.0,12.605287757314434,13.319129476814716
149,48.949,444,262,766,970,883,3020.0,12.60630247156336,13.319129476814716
150,54.061,430,248,927,609,630,3020.0,12.60731718581229,13.319129476814716
151,61.165,511,434,1113,511,627,3020.0,12.608331900061218,13.319129476814714
152,48.218,517,545,1224,517,633,3020.0,12.609346614310148,13.31912947681471
153,23.487,549,603,1198,423,677,3020.0,12.610361328559076,13.319129476814716
154,45.38,468,521,1116,341,606,3020.0,12.611376042808004,13.319129476814714
155,72.004,451,318,914,139,589,3020.0,12.612390757056932,13.319129476814714
156,71.888,390,256,793,77,584,3020.0,12.61340547130586,13.319129476814714
157,46.276,427,293,829,113,621,3020.0,12.614420185554792,13.319129476814714
158,86.644,571,437,754,258,636,3020.0,12.615434899803716,13.319129476814716
159,83.158,671,537,807,358,689,3020.0,12.616449614052648,13.319129476814714
160,66.477,790,656,747,476,629,3020.0,12.617464328301574,13.319129476814714
161,63.804,962,828,778,674,660,3020.0,12.618479042550502,13.319129476814716
162,47.173,1066,932,882,778,764,3020.0,12.61949375679943,13.319129476814714
163,5.577,1097,963,860,809,743,3020.0,12.62050847104836,13.319129476814716
