,POP_2015,active_living,community_space,health_wellbeing,mobility,ID_HDC_G0,lng,lat
223,84.033,425,1384,259,0,6623.0,73.72296943911573,27.199534521367866
224,85.56,425,1384,259,0,6623.0,73.72404226476586,27.19953452136787
225,91.916,288,1245,252,138,6623.0,73.725115090416,27.199534521367866
226,67.219,245,1200,445,336,6623.0,73.72618791606612,27.199534521367866
227,63.364,242,1197,448,338,6623.0,73.72726074171628,27.199534521367873
228,40.232,95,877,316,507,6623.0,73.7283335673664,27.19953452136787
229,85.026,145,826,265,558,6623.0,73.72940639301656,27.199534521367866
230,84.549,189,774,213,610,6623.0,73.7304792186667,27.199534521367866
231,105.81,402,560,0,823,6623.0,73.73155204431683,27.199534521367866
232,103.825,402,560,0,823,6623.0,73.73262486996697,27.199534521367873
233,89.225,827,490,162,1875,6623.0,73.74013464951794,27.19953452136787
234,91.687,757,560,92,1945,6623.0,73.7412074751681,27.199534521367866
235,96.401,1060,944,117,2329,6623.0,73.74442595211849,27.199534521367866
236,87.908,1137,1020,41,2405,6623.0,73.74549877776863,27.19953452136787
237,86.228,1199,1083,29,2468,6623.0,73.74657160341879,27.199534521367866
238,81.743,1306,1189,106,2574,6623.0,73.74764442906893,27.19953452136787
239,88.747,1396,1279,196,2664,6623.0,73.74871725471907,27.199534521367866
240,99.798,1627,1511,287,2896,6623.0,73.7497900803692,27.19953452136787
241,95.236,1596,1480,318,2865,6623.0,73.75086290601934,27.19953452136787
242,104.512,1828,1712,200,3096,6623.0,73.75193573166949,27.19953452136787
243,100.046,1832,1716,202,3101,6623.0,73.75300855731962,27.199534521367873
244,11.356,1660,2624,233,1329,6623.0,73.71618532741638,27.198688812525475
245,98.634,1292,1994,650,1147,6623.0,73.72154943040547,27.198688812525475
246,91.82,1226,1928,735,1081,6623.0,73.7226222510033,27.198688812525475
247,60.844,1231,1933,791,1085,6623.0,73.72369507160111,27.19868881252547
248,57.753,314,1269,509,400,6623.0,73.72584071279675,27.198688812525475
249,56.073,312,1267,512,403,6623.0,73.72691353339457,27.19868881252548
250,69.414,658,529,6,1914,6623.0,73.74086020116616,27.198688812525475
251,106.268,743,627,103,2012,6623.0,73.74193302176398,27.19868881252547
252,98.386,932,815,254,2200,6623.0,73.74300584236181,27.19868881252547
253,111.459,932,815,254,2200,6623.0,73.74407866295961,27.19868881252547
254,66.532,1060,944,117,2329,6623.0,73.74515148355742,27.19868881252547
255,98.996,1286,1170,87,2555,6623.0,73.74622430415525,27.198688812525475
256,93.633,1656,2005,1006,3239,6623.0,73.74729712475306,27.19868881252548
257,90.217,1401,1284,201,2669,6623.0,73.74836994535087,27.198688812525475
258,84.72,1507,1391,233,2775,6623.0,73.7494427659487,27.198688812525475
259,86.304,1587,1471,115,2856,6623.0,73.75051558654651,27.198688812525475
260,98.08,1751,1635,67,3020,6623.0,73.75158840714433,27.198688812525475
261,104.302,1831,1715,147,3099,6623.0,73.75266122774214,27.19868881252547
262,48.172,1841,2628,413,1509,6623.0,73.71583818499687,27.197843106115418
263,64.986,1858,2645,430,1526,6623.0,73.71691100054257,27.197843106115418
264,80.522,1563,2264,832,1417,6623.0,73.71905663163402,27.19784310611542
265,68.154,1469,2171,861,1323,6623.0,73.72012944717974,27.19784310611542
266,92.145,1252,1953,736,1106,6623.0,73.72120226272546,27.197843106115418
267,98.901,1192,1894,762,1047,6623.0,73.72227507827118,27.19784310611542
268,91.019,1098,1800,884,953,6623.0,73.72334789381688,27.197843106115418
269,77.773,422,1377,617,508,6623.0,73.72549352490832,27.197843106115418
270,54.756,420,1374,620,511,6623.0,73.72656634045404,27.197843106115418
271,59.07,371,1153,592,783,6623.0,73.72871197154548,27.19784310611542
272,8.76,420,1104,577,832,6623.0,73.72978478709118,27.19784310611542
273,112.776,484,260,299,1123,6623.0,73.73407604927405,27.197843106115418
274,37.713,1268,1152,202,2537,6623.0,73.74587702027692,27.19784310611542
275,95.446,1610,1959,960,3193,6623.0,73.74694983582263,27.19784310611542
276,68.345,1656,2005,1006,3239,6623.0,73.74802265136833,27.197843106115418
277,63.917,1507,1391,195,2775,6623.0,73.74909546691407,27.19784310611542
278,70.54,1628,1512,155,2897,6623.0,73.7501682824598,27.19784310611542
279,77.64,1745,1628,71,3013,6623.0,73.7512410980055,27.197843106115418
280,76.113,1793,1677,105,3062,6623.0,73.75231391355123,27.197843106115425
281,64.471,1923,1806,0,3191,6623.0,73.75338672909695,27.19784310611542
282,66.437,1894,2596,643,1749,6623.0,73.71656386844957,27.196997402137605
283,81.896,1786,2487,554,1640,6623.0,73.7176366789434,27.196997402137608
284,74.529,1551,2253,821,1406,6623.0,73.71870948943726,27.196997402137605
285,94.034,1450,2152,842,1304,6623.0,73.71978229993111,27.196997402137608
286,55.214,1247,1949,835,1101,6623.0,73.72085511042495,27.196997402137608
287,69.547,1156,1857,832,1010,6623.0,73.72192792091879,27.196997402137605
288,68.211,1028,1730,920,882,6623.0,73.72300073141261,27.196997402137605
289,82.258,888,1590,1002,742,6623.0,73.72407354190646,27.196997402137608
290,63.097,548,1314,748,522,6623.0,73.72621916289413,27.196997402137608
291,62.982,420,1104,577,832,6623.0,73.72836478388182,27.196997402137608
292,33.228,420,1104,577,832,6623.0,73.72943759437565,27.196997402137605
293,117.91,484,260,299,1123,6623.0,73.73372883635102,27.196997402137608
294,90.809,351,127,433,1257,6623.0,73.73480164684486,27.196997402137605
295,58.764,364,33,508,1351,6623.0,73.7358744573387,27.196997402137608
296,38.095,398,0,523,1384,6623.0,73.73694726783255,27.196997402137605
297,67.066,0,398,465,1608,6623.0,73.73802007832637,27.196997402137608
298,101.382,985,868,345,2253,6623.0,73.74338413079558,27.1969974021376
299,64.089,1687,2036,892,3270,6623.0,73.74874818326478,27.1969974021376
300,69.643,1669,1553,196,2938,6623.0,73.74982099375862,27.196997402137605
301,90.446,1793,1677,105,3062,6623.0,73.75089380425246,27.196997402137608
302,112.07,1864,1747,131,3132,6623.0,73.7519666147463,27.196997402137608
303,95.981,1941,1825,23,3210,6623.0,73.75303942524015,27.196997402137608
304,79.415,1887,2589,636,1741,6623.0,73.71514394629246,27.19615170059194
305,75.865,1786,2487,554,1640,6623.0,73.71621675173463,27.196151700591937
306,82.01,1722,2424,482,1577,6623.0,73.71728955717681,27.196151700591937
307,91.209,1533,2235,632,1388,6623.0,73.71836236261902,27.196151700591937
308,90.274,1463,2165,702,1318,6623.0,73.7194351680612,27.196151700591937
309,96.267,1298,1999,1230,1152,6623.0,73.72050797350337,27.19615170059194
310,85.789,1194,1896,1126,1049,6623.0,73.72158077894558,27.196151700591937
311,45.023,1007,1709,947,862,6623.0,73.72265358438776,27.196151700591937
312,96.649,888,1589,1002,742,6623.0,73.72372638982995,27.196151700591937
313,69.166,803,1504,916,657,6623.0,73.72479919527214,27.19615170059194
314,73.231,599,1285,753,493,6623.0,73.72587200071432,27.196151700591937
315,97.66,599,1255,775,516,6623.0,73.72694480615651,27.19615170059194
316,97.145,351,127,433,1257,6623.0,73.73445444425182,27.196151700591937
317,74.624,254,143,529,1353,6623.0,73.735527249694,27.196151700591937
318,85.102,106,291,571,1501,6623.0,73.73660005513621,27.19615170059194
319,89.492,0,398,465,1608,6623.0,73.73767286057839,27.19615170059194
320,91.19,347,745,117,1955,6623.0,73.74089127690493,27.196151700591937
321,101.821,347,745,117,1955,6623.0,73.74196408234714,27.196151700591937
322,30.231,1280,1413,414,2798,6623.0,73.74625530411588,27.196151700591937
323,58.631,1280,1413,414,2798,6623.0,73.74732810955805,27.196151700591944
324,80.064,1802,1690,289,3075,6623.0,73.75054652588463,27.196151700591937
325,80.865,1847,1770,291,3154,6623.0,73.75161933132682,27.196151700591937
326,91.419,1982,1865,103,3250,6623.0,73.752692136769,27.196151700591937
327,71.227,1799,2500,548,1653,6623.0,73.7158696503972,27.195306001478304
328,66.799,1722,2424,471,1577,6623.0,73.71694245078795,27.19530600147831
329,86.572,1533,2235,632,1388,6623.0,73.71801525117868,27.195306001478297
330,38.266,1533,2235,632,1388,6623.0,73.71908805156946,27.195306001478308
331,98.462,1228,1929,1160,1082,6623.0,73.72016085196024,27.1953060014783
332,102.394,1108,1809,1040,962,6623.0,73.72123365235097,27.195306001478304
333,73.307,1020,1721,952,874,6623.0,73.72230645274176,27.1953060014783
334,101.287,834,1536,948,688,6623.0,73.72337925313249,27.1953060014783
335,80.025,746,1448,860,601,6623.0,73.72445205352325,27.195306001478308
336,32.884,733,1122,725,649,6623.0,73.72659765430477,27.1953060014783
337,62.829,835,961,885,809,6623.0,73.72767045469553,27.19530600147831
