,POP_2015,active_living,education,food_choices,ID_HDC_G0,lng,lat
208,91.935,1121,1544,3971,10803.0,116.02642728648128,39.12132402242938
209,70.392,1359,1782,3733,10803.0,116.0287636438482,39.12132402242938
210,62.977,1359,1782,3733,10803.0,116.02993182253165,39.121324022429384
211,84.943,1258,1961,3558,10803.0,116.03110000121505,39.12132402242938
212,50.835,845,2100,3145,10803.0,116.03343635858195,39.12132402242938
213,92.407,1006,2217,3305,10803.0,116.0346045372654,39.12132402242938
214,63.192,1275,2967,2383,10803.0,116.04278178804951,39.12132402242938
215,64.194,1275,2967,2383,10803.0,116.04394996673298,39.121324022429384
216,79.689,1446,3138,2223,10803.0,116.0451181454164,39.12132402242938
217,89.799,1603,3295,2064,10803.0,116.04628632409987,39.121324022429384
218,78.745,1603,3295,2064,10803.0,116.0474545027833,39.12132402242938
219,94.807,1767,3459,1900,10803.0,116.04862268146675,39.12132402242938
220,98.946,1767,3459,1900,10803.0,116.04979086015018,39.12132402242938
221,64.78,1936,3630,1727,10803.0,116.05095903883364,39.121324022429384
222,84.508,0,701,5000,10803.0,116.01382865077777,39.12043361046785
223,81.22,399,854,4693,10803.0,116.01733315913224,39.12043361046784
224,76.855,399,854,4693,10803.0,116.01850132858372,39.120433610467856
225,72.131,876,1316,4215,10803.0,116.02317400638964,39.120433610467856
226,96.489,859,1314,4233,10803.0,116.02434217584114,39.12043361046785
227,91.198,1121,1544,3971,10803.0,116.02551034529262,39.120433610467856
228,72.509,1121,1544,3971,10803.0,116.0266785147441,39.120433610467856
229,72.527,1359,1782,3733,10803.0,116.02784668419562,39.12043361046785
230,91.385,1359,1782,3733,10803.0,116.0290148536471,39.12043361046785
231,80.464,1258,1961,3558,10803.0,116.03018302309857,39.12043361046785
232,94.297,1258,1961,3558,10803.0,116.03135119255006,39.12043361046785
233,86.266,1004,2219,3304,10803.0,116.03368753145304,39.12043361046785
234,64.307,1476,3167,2583,10803.0,116.0442010565164,39.12043361046785
235,92.917,1645,3336,2418,10803.0,116.04536922596789,39.12043361046785
236,53.081,1645,3336,2418,10803.0,116.0465373954194,39.12043361046785
237,74.738,1800,3492,2258,10803.0,116.04770556487088,39.12043361046785
238,79.028,1962,3654,2094,10803.0,116.04887373432238,39.12043361046785
239,91.708,1962,3654,2094,10803.0,116.05004190377386,39.12043361046785
240,64.232,2069,3763,1861,10803.0,116.05121007322535,39.120433610467856
241,72.471,2129,3823,1920,10803.0,116.05237824267682,39.12043361046785
242,61.17,2295,3989,2087,10803.0,116.05354641212833,39.12043361046785
243,83.979,2295,3989,2087,10803.0,116.05471458157979,39.120433610467856
244,69.806,0,701,5000,10803.0,116.0129118431901,39.11954320272325
245,14.346,1476,3167,2583,10803.0,116.04328400890867,39.11954320272325
246,48.768,1645,3336,2418,10803.0,116.0444521691286,39.11954320272326
247,59.847,1645,3336,2418,10803.0,116.04562032934855,39.11954320272326
248,92.356,1800,3492,2258,10803.0,116.04678848956848,39.11954320272324
249,37.668,1800,3492,2258,10803.0,116.04795664978843,39.11954320272325
250,35.673,1962,3654,2094,10803.0,116.04912481000837,39.11954320272324
251,25.99,2129,3823,1920,10803.0,116.05029297022831,39.11954320272324
252,46.152,2129,3823,1920,10803.0,116.05146113044827,39.11954320272325
253,43.728,2426,3641,4726,10803.0,116.03370222707319,39.10796828570732
254,25.155,2426,3641,4726,10803.0,116.03487026732093,39.10796828570733
255,95.374,2426,3641,4726,10803.0,116.03278573886917,39.10707793698202
