,POP_2015,community_space,education,food_choices,mobility,ID_HDC_G0,lng,lat
176,4.552,1947,1184,569,0,11606.0,113.13012531690673,28.781974914311775
177,13.854,1646,1206,836,68,11606.0,113.13229062145328,28.781974914311782
178,20.975,1598,1158,854,26,11606.0,113.13337327372656,28.781974914311782
179,5.653,1234,794,1741,285,11606.0,113.13878653509289,28.781974914311782
180,1.985,1269,829,1776,249,11606.0,113.13986918736619,28.78197491431178
181,9.43,1139,32,2046,89,11606.0,113.14095183963943,28.781974914311785
182,9.456,1062,64,1968,34,11606.0,113.1420344919127,28.781974914311782
183,3.274,87,1193,2539,425,11606.0,113.14419979645926,28.781974914311782
184,6.588,72,1163,2510,395,11606.0,113.14528244873249,28.781974914311775
185,10.308,1662,712,2568,633,11606.0,113.14636510100576,28.781974914311782
186,14.714,1662,712,2568,633,11606.0,113.14744775327904,28.781974914311782
187,9.906,1895,945,2801,824,11606.0,113.14853040555234,28.781974914311782
188,0.58,3921,864,1480,629,11606.0,113.11547778591802,28.781124487959666
189,22.181,2920,762,1378,287,11606.0,113.12197366664903,28.781124487959666
190,29.611,2920,762,1378,287,11606.0,113.12305631343749,28.781124487959662
191,11.594,1648,1208,844,37,11606.0,113.13171748774546,28.781124487959666
192,17.418,1609,1169,873,6,11606.0,113.132800134534,28.781124487959662
193,12.448,1167,727,1285,14,11606.0,113.13713072168801,28.781124487959662
194,8.777,1206,99,2113,95,11606.0,113.13929601526499,28.781124487959666
195,10.96,1206,99,2113,95,11606.0,113.14037866205351,28.781124487959662
196,17.92,1117,99,2024,0,11606.0,113.141461308842,28.781124487959662
197,6.957,87,1193,2539,425,11606.0,113.14362660241899,28.781124487959666
198,5.231,50,1157,2503,389,11606.0,113.1447092492075,28.781124487959666
199,4.962,38,1068,2414,299,11606.0,113.145791895996,28.781124487959662
200,13.167,1813,905,2461,0,11606.0,113.15770101066951,28.781124487959662
201,14.361,1813,905,2461,0,11606.0,113.15878365745802,28.781124487959662
202,40.598,3155,2247,1666,509,11606.0,113.17285806570854,28.781124487959666
