,POP_2015,active_living,education,food_choices,health_wellbeing,mobility,ID_HDC_G0,lng,lat
287,2.773,842,716,1309,370,1617,10466.0,106.77012691668392,31.853639261075894
288,49.756,689,689,1221,217,1769,10466.0,106.77123088896231,31.853639261075894
289,62.203,681,549,1213,490,1652,10466.0,106.77233486124068,31.853639261075894
290,63.605,768,621,1256,577,1739,10466.0,106.77343883351905,31.853639261075898
291,74.463,658,658,971,467,1893,10466.0,106.77454280579741,31.853639261075894
292,54.32,1231,0,1193,898,1755,10466.0,106.7756467780758,31.85363926107589
293,203.923,1960,1128,1695,1769,2868,10466.0,106.7844785563028,31.853639261075894
294,116.492,3464,215,1998,1609,1881,10466.0,106.74301163179139,31.852778689689018
295,96.382,3307,285,1712,1338,1595,10466.0,106.74411559765807,31.852778689689014
296,83.121,3307,285,1712,1338,1595,10466.0,106.74521956352473,31.85277868968901
297,142.191,3188,636,1405,987,1288,10466.0,106.7463235293914,31.852778689689014
298,120.896,3188,636,1405,987,1288,10466.0,106.7474274952581,31.852778689689014
299,98.982,3035,520,1272,833,1155,10466.0,106.74853146112474,31.85277868968901
300,137.221,3253,372,1124,886,1007,10466.0,106.74963542699146,31.852778689689014
301,109.952,3253,372,1124,886,1007,10466.0,106.75073939285814,31.852778689689014
302,53.355,2586,0,753,0,636,10466.0,106.75405129045812,31.852778689689007
303,55.177,2567,18,735,18,617,10466.0,106.75515525632481,31.852778689689014
304,75.771,2181,14,61,815,935,10466.0,106.75957111979152,31.85277868968901
305,64.882,2184,0,75,829,949,10466.0,106.76067508565819,31.852778689689018
306,66.985,2046,137,104,886,1087,10466.0,106.76177905152487,31.852778689689014
307,66.534,1974,209,176,836,1159,10466.0,106.76288301739154,31.85277868968901
308,62.655,1896,288,255,757,1237,10466.0,106.76398698325822,31.85277868968901
309,53.105,1932,576,543,807,1333,10466.0,106.76509094912493,31.852778689689014
310,58.589,1402,788,756,783,1738,10466.0,106.76619491499156,31.85277868968901
311,60.817,1517,903,871,897,1763,10466.0,106.76729888085825,31.852778689689007
312,2.524,689,689,1221,217,1769,10466.0,106.77061077845828,31.852778689689018
313,34.381,1091,714,1272,184,1774,10466.0,106.77171474432495,31.852778689689014
314,48.058,549,549,1080,358,1784,10466.0,106.77281871019161,31.85277868968901
315,50.628,638,638,935,503,1929,10466.0,106.77392267605832,31.85277868968901
316,60.396,619,619,899,539,1966,10466.0,106.775026641925,31.852778689689014
317,9.612,1960,1128,1695,1769,2868,10466.0,106.7838583688584,31.852778689689014
318,85.309,3464,215,1998,1609,1881,10466.0,106.74239170844186,31.851918121334833
319,113.171,3249,0,1834,1394,1716,10466.0,106.74459962735237,31.851918121334833
320,85.232,3166,144,1707,1268,1590,10466.0,106.74570358680762,31.851918121334833
321,107.583,3023,269,1564,1125,1447,10466.0,106.7468075462629,31.851918121334837
322,99.884,3035,520,1272,833,1155,10466.0,106.74791150571814,31.851918121334833
323,106.45,2820,321,1051,557,956,10466.0,106.75011942462868,31.851918121334833
324,77.404,2813,327,1045,551,963,10466.0,106.7512233840839,31.851918121334837
325,71.737,2424,161,655,161,723,10466.0,106.75453526244966,31.851918121334833
326,66.02,2424,161,655,161,723,10466.0,106.75563922190494,31.851918121334833
327,53.993,2054,153,53,764,1047,10466.0,106.76005505972597,31.851918121334833
328,54.492,2044,190,14,784,1086,10466.0,106.76115901918119,31.85191812133483
329,68.668,2065,299,107,907,1208,10466.0,106.76226297863646,31.851918121334833
