,POP_2015,food_choices,health_wellbeing,mobility,ID_HDC_G0,lng,lat
127,170.435,1959,941,5000,9553.0,86.49590598636543,21.05788981948991
128,236.411,1959,941,5000,9553.0,86.49694730904008,21.057889819489912
129,223.711,2130,1175,5000,9553.0,86.50007127706407,21.05788981948991
130,167.958,2130,1175,5000,9553.0,86.50111259973872,21.05788981948991
131,373.572,2001,1046,5000,9553.0,86.50215392241337,21.057889819489915
132,286.704,2327,1371,5000,9553.0,86.50319524508804,21.05788981948991
133,125.159,2241,1286,5000,9553.0,86.50423656776269,21.057889819489912
134,39.561,2602,1647,5000,9553.0,86.50527789043734,21.057889819489915
135,101.791,2602,1647,5000,9553.0,86.506319213112,21.057889819489912
136,351.029,1943,1172,5000,9553.0,86.51256714915995,21.057889819489912
137,168.657,2466,905,5000,9553.0,86.51777376253324,21.057889819489912
138,127.826,2466,905,5000,9553.0,86.51881508520788,21.057889819489912
139,240.856,1977,959,5000,9553.0,86.49560711537457,21.057059416801643
140,206.185,1968,950,5000,9553.0,86.49664843445113,21.057059416801643
141,162.497,2182,1227,5000,9553.0,86.50289634891045,21.057059416801643
142,103.696,2212,1257,5000,9553.0,86.50393766798702,21.057059416801643
143,283.91,2466,905,5000,9553.0,86.51851613505876,21.057059416801643
144,29.909,4137,1369,5000,9553.0,86.49322562810354,21.056229015877776
145,236.792,3307,331,5000,9553.0,86.49426694358218,21.056229015877776
146,42.863,2182,1227,5000,9553.0,86.5025974674112,21.056229015877776
147,102.489,2182,1227,5000,9553.0,86.50363878288984,21.05622901587778
148,37.846,2399,1444,5000,9553.0,86.50468009836844,21.056229015877776
149,64.643,2399,1444,5000,9553.0,86.50572141384708,21.056229015877776
150,227.902,2321,794,5000,9553.0,86.51509325315473,21.056229015877772
151,73.978,2321,794,5000,9553.0,86.51613456863336,21.056229015877776
152,255.652,2626,705,5000,9553.0,86.51821719959062,21.056229015877776
153,155.195,2626,705,5000,9553.0,86.51925851506927,21.05622901587778
154,32.639,2734,165,5000,9553.0,86.49292679366195,21.055398616718225
155,166.498,3307,331,5000,9553.0,86.49396810554282,21.055398616718225
156,83.376,2399,1444,5000,9553.0,86.50438122435163,21.055398616718225
157,103.886,2405,1476,5000,9553.0,86.50542253623249,21.05539861671822
158,175.324,2410,1507,5000,9553.0,86.50646384811337,21.055398616718225
159,278.893,2258,1524,5000,9553.0,86.50750515999428,21.055398616718225
160,275.21,2117,1479,5000,9553.0,86.50854647187514,21.05539861671822
161,343.346,2321,794,5000,9553.0,86.5147943431604,21.055398616718225
162,242.126,2438,677,5000,9553.0,86.51583565504129,21.055398616718225
163,213.615,2438,677,5000,9553.0,86.51687696692217,21.055398616718225
164,161.037,2626,705,5000,9553.0,86.51791827880307,21.055398616718225
165,274.829,2754,578,5000,9553.0,86.51895959068392,21.055398616718225
166,85.916,2900,0,5000,9553.0,86.49262797389626,21.05456821932291
167,204.979,2410,851,5000,9553.0,86.49366928217957,21.054568219322913
168,196.216,2258,1524,5000,9553.0,86.50616498157926,21.054568219322913
169,306.643,2258,1524,5000,9553.0,86.50720628986257,21.05456821932291
170,248.54,2194,1402,5000,9553.0,86.50824759814587,21.054568219322913
171,235.014,2397,1206,5000,9553.0,86.51033021471247,21.054568219322906
172,147.448,2397,1206,5000,9553.0,86.51137152299579,21.05456821932291
173,212.345,2647,716,5000,9553.0,86.51449544784572,21.05456821932291
174,285.37,2438,677,5000,9553.0,86.51553675612904,21.05456821932291
175,237.237,2438,677,5000,9553.0,86.51657806441233,21.05456821932291
176,255.271,2754,578,5000,9553.0,86.51866068097894,21.054568219322906
177,94.171,2754,578,5000,9553.0,86.51970198926226,21.05456821932291
