,POP_2015,active_living,community_space,education,health_wellbeing,nightlife,ID_HDC_G0,lng,lat
174,83.557,180,193,75,1787,290,12901.0,119.89631910646904,-0.9822670593953944
175,90.792,21,299,52,1685,447,12901.0,119.89731697433783,-0.9822670593953934
176,24.74,182,460,213,1846,567,12901.0,119.89831484220662,-0.9822670593953964
177,0.0,985,593,1023,985,1779,12901.0,119.90529991728825,-0.9822670593953944
178,35.798,985,593,1023,985,1779,12901.0,119.90629778515705,-0.9822670593953954
179,13.158,1404,0,233,300,3244,12901.0,119.9152785959763,-0.9822670593953944
180,4.201,1246,324,296,229,3181,12901.0,119.91727433171388,-0.9822670593953954
181,43.208,1261,339,311,244,3196,12901.0,119.91827219958272,-0.9822670593953964
182,33.274,2792,2514,2203,4394,2674,12901.0,119.8743839179196,-0.9830758728817287
183,116.437,2617,2339,2034,4218,2499,12901.0,119.87538178593748,-0.9830758728817277
184,64.331,1196,918,614,2798,1078,12901.0,119.8863583341338,-0.9830758728817297
185,75.621,1125,847,543,2727,1007,12901.0,119.88735620215162,-0.9830758728817287
186,31.276,952,674,369,2553,834,12901.0,119.88835407016948,-0.9830758728817287
187,74.279,952,674,369,2553,834,12901.0,119.88935193818735,-0.9830758728817297
188,76.963,822,544,239,2424,704,12901.0,119.89034980620515,-0.9830758728817287
189,37.227,746,467,163,2347,627,12901.0,119.89134767422303,-0.9830758728817288
190,80.669,641,363,151,2243,523,12901.0,119.89234554224089,-0.9830758728817267
191,43.879,369,0,259,1970,97,12901.0,119.89434127827656,-0.9830758728817298
192,45.863,369,0,259,1970,97,12901.0,119.8953391462944,-0.9830758728817268
193,65.731,150,223,105,1814,320,12901.0,119.89633701431228,-0.9830758728817307
194,65.527,85,288,116,1749,385,12901.0,119.89733488233009,-0.9830758728817287
195,12.574,257,460,288,1921,558,12901.0,119.89833275034795,-0.9830758728817268
196,0.0,426,704,457,2090,811,12901.0,119.90032848638363,-0.9830758728817287
197,13.887,1525,121,355,422,3366,12901.0,119.9142986386335,-0.9830758728817297
198,118.421,1404,0,233,300,3244,12901.0,119.91529650665133,-0.9830758728817306
199,22.727,1261,339,311,244,3196,12901.0,119.91729224268701,-0.9830758728817287
200,63.251,1261,339,311,244,3196,12901.0,119.91829011070487,-0.9830758728817287
201,66.548,2807,2529,2212,4409,2689,12901.0,119.87440183722823,-0.9838846864431293
202,103.046,2655,2377,2072,4256,2536,12901.0,119.87539970539522,-0.9838846864431293
203,42.479,2777,2499,2194,4378,2659,12901.0,119.87639757356224,-0.9838846864431273
204,7.877,619,511,298,2391,671,12901.0,119.89136559606743,-0.9838846864431294
205,54.44,685,407,194,2287,567,12901.0,119.8923634642344,-0.983884686443132
206,12.458,362,97,356,2067,0,12901.0,119.89435920056846,-0.9838846864431293
207,19.839,362,97,356,2067,0,12901.0,119.89535706873548,-0.9838846864431294
208,0.058,266,470,297,1930,567,12901.0,119.89835067323651,-0.9838846864431294
209,0.0,480,683,511,2144,780,12901.0,119.90034640957052,-0.9838846864431294
210,0.0,1525,121,355,422,3366,12901.0,119.9143165639087,-0.9838846864431284
211,4.785,1525,121,355,422,3366,12901.0,119.91531443207569,-0.9838846864431293
212,91.755,2889,2462,2131,4490,2771,12901.0,119.87441977128114,-0.9846935000796585
213,85.803,2705,2427,2110,4307,2587,12901.0,119.87541763959743,-0.9846935000796576
214,29.846,2802,2511,2193,4404,2684,12901.0,119.8764155079137,-0.9846935000796556
215,25.09,619,511,298,2391,671,12901.0,119.89138353265822,-0.9846935000796566
216,14.15,619,511,298,2391,671,12901.0,119.89238140097454,-0.9846935000796557
217,35.827,316,143,402,2114,46,12901.0,119.89437713760715,-0.9846935000796576
218,76.759,316,143,402,2114,46,12901.0,119.89537500592343,-0.9846935000796585
219,92.339,2880,2265,1934,4482,2762,12901.0,119.8744377200784,-0.9855023137913737
220,53.828,2807,2400,2069,4408,2689,12901.0,119.87543558854411,-0.9855023137913738
221,9.599,2716,2438,2134,4318,2598,12901.0,119.8764334570098,-0.9855023137913765
222,0.379,2449,2171,1867,4051,2331,12901.0,119.87842919394122,-0.9855023137913754
223,0.321,2384,2105,1801,3985,2265,12901.0,119.87942706240696,-0.9855023137913744
224,3.034,1799,1520,1216,3400,1680,12901.0,119.88441640473548,-0.9855023137913725
225,18.322,215,244,503,2214,147,12901.0,119.89439508939259,-0.9855023137913735
226,64.214,215,244,503,2214,147,12901.0,119.89539295785832,-0.9855023137913737
227,59.809,2884,2262,1930,4486,2766,12901.0,119.87445568362001,-0.9863111275783452
228,45.746,2797,2410,2079,4398,2679,12901.0,119.87545355223524,-0.9863111275783443
229,25.411,2716,2438,2134,4318,2598,12901.0,119.8764514208505,-0.9863111275783453
230,46.446,2455,2177,1873,4057,2337,12901.0,119.87844715808097,-0.9863111275783434
231,110.048,2380,2101,1797,3981,2261,12901.0,119.8794450266962,-0.9863111275783444
232,118.625,2287,2009,1705,3889,2169,12901.0,119.88044289531146,-0.9863111275783443
233,127.961,2128,1850,1545,3729,2010,12901.0,119.8814407639267,-0.9863111275783434
234,51.931,2040,1762,1458,3642,1922,12901.0,119.88243863254195,-0.9863111275783443
235,50.152,2006,1727,1423,3607,1887,12901.0,119.88343650115718,-0.9863111275783452
236,1.225,1799,1520,1216,3400,1680,12901.0,119.88443436977245,-0.986311127578345
237,7.148,406,724,511,2604,768,12901.0,119.89141945007916,-0.9863111275783452
238,4.756,406,724,511,2604,768,12901.0,119.89241731869438,-0.9863111275783434
239,20.393,127,331,590,2302,234,12901.0,119.89541092454014,-0.9863111275783434
240,13.1,1747,302,759,730,3682,12901.0,119.91935977130599,-0.9863111275783443
241,11.32,1747,302,759,730,3682,12901.0,119.92035763992125,-0.9863111275783424
242,0.0,2257,518,476,865,4192,12901.0,119.92335124576698,-0.9863111275783434
243,83.907,3047,2099,1768,4648,2929,12901.0,119.8734757931411,-0.987119941440628
244,32.413,3047,2099,1768,4648,2929,12901.0,119.874473661906,-0.987119941440625
245,60.509,2506,2228,1923,4108,2388,12901.0,119.8784651369656,-0.987119941440627
246,82.448,2405,2127,1823,4007,2287,12901.0,119.8794630057305,-0.9871199414406271
247,1.167,2271,1993,1689,3873,2153,12901.0,119.88046087449541,-0.987119941440627
248,68.911,2180,1902,1597,3782,2062,12901.0,119.8814587432603,-0.9871199414406262
249,92.251,2128,1849,1545,3729,2009,12901.0,119.88245661202518,-0.987119941440627
250,1.692,406,724,511,2604,768,12901.0,119.8914374309093,-0.987119941440625
251,12.049,406,724,511,2604,768,12901.0,119.8924352996742,-0.9871199414406262
252,11.641,0,459,718,2430,362,12901.0,119.8954289059689,-0.987119941440627
253,45.134,0,459,718,2430,362,12901.0,119.89642677473381,-0.9871199414406262
254,0.0,529,989,891,2524,892,12901.0,119.90041824979342,-0.987119941440625
255,0.0,1319,1779,400,1845,1682,12901.0,119.90740333114773,-0.9871199414406279
256,35.097,1857,192,649,649,3792,12901.0,119.91937775632651,-0.987119941440627
257,63.426,1909,208,664,664,3844,12901.0,119.92037562509144,-0.9871199414406271
258,0.088,1962,223,679,679,3897,12901.0,119.92137349385634,-0.9871199414406262
259,0.0,2257,518,476,865,4192,12901.0,119.92336923138612,-0.9871199414406262
260,45.309,3371,2045,1714,4973,3253,12901.0,119.87149804819234,-0.987928755378283
261,105.263,3287,2065,1734,4888,3169,12901.0,119.87249591710703,-0.9879287553782848
262,91.726,3184,1962,1631,4785,3066,12901.0,119.87349378602168,-0.9879287553782831
263,59.634,3198,2043,1712,4799,3080,12901.0,119.87449165493638,-0.9879287553782861
264,11.174,2561,2282,1978,4162,2442,12901.0,119.87848313059509,-0.9879287553782838
265,1.371,2110,1832,1528,3712,1992,12901.0,119.88247460625382,-0.987928755378283
266,0.0,529,989,891,2524,892,12901.0,119.90043624671803,-0.987928755378286
267,5.747,1319,1779,400,1845,1682,12901.0,119.90742132912081,-0.987928755378283
268,5.135,1498,1784,221,1666,1861,12901.0,119.9084191980355,-0.9879287553782848
269,0.0,1498,1784,221,1666,1861,12901.0,119.90941706695018,-0.987928755378285
270,21.21,1894,155,612,612,3829,12901.0,119.91939575609695,-0.9879287553782838
271,101.441,1905,146,603,603,3840,12901.0,119.92039362501167,-0.987928755378284
272,8.461,1962,223,679,679,3897,12901.0,119.9213914939263,-0.9879287553782831
273,42.537,3371,2045,1714,4973,3253,12901.0,119.87151605551745,-0.9887375693913786
274,95.46,3358,2032,1700,4959,3240,12901.0,119.87251392458202,-0.9887375693913767
275,108.793,3203,1990,1659,4805,3085,12901.0,119.87351179364661,-0.9887375693913805
276,117.225,3332,2039,1707,4933,3213,12901.0,119.87450966271118,-0.9887375693913766
277,16.28,3337,2088,1757,4938,3218,12901.0,119.87550753177577,-0.9887375693913785
278,0.058,1498,1784,221,1666,1861,12901.0,119.90843721090701,-0.9887375693913778
279,4.26,1526,1757,194,1638,1889,12901.0,119.90943507997154,-0.9887375693913766
280,133.359,2050,0,456,456,3984,12901.0,119.92041163968192,-0.9887375693913796
281,31.13,3479,1837,1506,5000,3360,12901.0,119.87352981601583,-0.989546383479971
282,20.422,3337,2088,1757,4938,3218,12901.0,119.87452768523046,-0.9895463834799719
283,36.031,3337,2088,1757,4938,3218,12901.0,119.87552555444506,-0.9895463834799698
284,1.809,3233,2252,1920,4877,3157,12901.0,119.87652342365965,-0.9895463834799698
285,0.0,289,191,1008,2720,652,12901.0,119.89548293873715,-0.9895463834799698
286,41.224,289,191,1008,2720,652,12901.0,119.89648080795179,-0.9895463834799719
287,2.742,1605,1678,115,1559,1968,12901.0,119.9084552385271,-0.9895463834799719
288,52.632,1605,1678,115,1559,1968,12901.0,119.90945310774165,-0.9895463834799718
289,68.299,2120,70,385,385,3913,12901.0,119.9204296691023,-0.9895463834799682
290,22.115,2120,70,385,385,3913,12901.0,119.9214275383169,-0.9895463834799718
291,0.0,2600,405,133,523,4051,12901.0,119.92242540753153,-0.9895463834799719
292,0.0,2600,405,133,523,4051,12901.0,119.92342327674612,-0.989546383479971
293,46.067,3584,1759,1428,5000,3466,12901.0,119.87155211439988,-0.9903551976441245
294,104.125,3430,1716,1385,5000,3311,12901.0,119.87254998376463,-0.9903551976441236
295,70.049,3495,1821,1489,5000,3377,12901.0,119.87354785312938,-0.9903551976441245
296,18.264,3479,1837,1506,5000,3360,12901.0,119.87454572249416,-0.9903551976441236
