,POP_2015,education,food_choices,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
312,5.869,362,1009,853,1009,1009,3696.0,26.97836607523774,-16.815211966139678
313,24.541,300,941,785,941,941,3696.0,26.97939114756615,-16.815211966139675
314,58.639,256,1202,1046,1202,1202,3696.0,26.980416219894565,-16.815211966139678
315,40.517,280,1203,1047,1203,1203,3696.0,26.98144129222297,-16.815211966139678
316,53.816,441,1270,1114,1270,1270,3696.0,26.982466364551378,-16.815211966139675
317,40.48,473,1610,1454,1610,1610,3696.0,26.984516509208195,-16.815211966139675
318,44.947,644,1677,1634,1791,1791,3696.0,26.98554158153661,-16.815211966139675
319,10.799,765,1557,1709,1911,1911,3696.0,26.98656665386501,-16.815211966139678
320,0.035,700,1556,1709,2013,2013,3696.0,26.987591726193426,-16.815211966139675
321,0.0,639,1715,1868,2190,2190,3696.0,26.988616798521832,-16.815211966139678
322,14.7,779,1460,1612,1937,1937,3696.0,26.989641870850246,-16.815211966139675
323,9.717,633,2970,2812,2970,2970,3696.0,26.961012163970633,-16.816034362827224
324,0.0,533,2869,2711,2869,2869,3696.0,26.96203723904863,-16.816034362827224
325,0.195,449,2786,2628,2786,2786,3696.0,26.963062314126628,-16.816034362827224
326,70.945,307,2036,1878,2036,2036,3696.0,26.967162614438625,-16.816034362827224
327,19.31,221,1950,1792,1950,1950,3696.0,26.968187689516625,-16.816034362827224
328,10.497,295,1789,1631,1789,1789,3696.0,26.969212764594623,-16.816034362827224
329,0.0,317,1767,1609,1767,1767,3696.0,26.97023783967262,-16.816034362827224
330,0.0,508,1475,1317,1475,1475,3696.0,26.972287989828622,-16.816034362827228
331,1.206,557,1426,1268,1426,1426,3696.0,26.97331306490662,-16.816034362827224
332,30.357,722,1254,1096,1254,1254,3696.0,26.974338139984617,-16.816034362827224
333,2.802,786,1154,995,1154,1154,3696.0,26.975363215062615,-16.816034362827224
334,19.913,597,1244,1088,1244,1244,3696.0,26.976388290140612,-16.816034362827224
335,53.408,597,1244,1088,1244,1244,3696.0,26.977413365218606,-16.816034362827224
336,61.174,339,1108,952,1108,1108,3696.0,26.97843844029661,-16.816034362827224
337,72.026,186,1056,899,1056,1056,3696.0,26.9794635153746,-16.816034362827224
338,60.696,169,1207,1051,1207,1207,3696.0,26.980488590452598,-16.816034362827224
339,64.668,135,1241,1085,1241,1241,3696.0,26.981513665530603,-16.816034362827224
340,53.717,291,1428,1271,1428,1428,3696.0,26.982538740608597,-16.816034362827224
341,38.531,291,1428,1271,1428,1428,3696.0,26.983563815686598,-16.816034362827224
342,44.378,583,1729,1573,1729,1729,3696.0,26.9845888907646,-16.816034362827224
343,28.054,644,1677,1634,1791,1791,3696.0,26.985613965842592,-16.816034362827228
344,11.379,810,1843,1799,1956,1956,3696.0,26.98663904092059,-16.816034362827224
345,8.21,535,1721,1873,2159,2159,3696.0,26.98766411599859,-16.816034362827224
346,0.0,639,1715,1868,2190,2190,3696.0,26.98868919107659,-16.816034362827224
347,0.0,657,2994,2836,2994,2994,3696.0,26.961084486366,-16.81685676087631
348,0.0,502,2838,2680,2838,2838,3696.0,26.96210956419375,-16.81685676087631
349,0.0,483,2819,2661,2819,2819,3696.0,26.963134642021487,-16.81685676087631
350,0.0,604,1620,1462,1620,1620,3696.0,26.97031018681568,-16.81685676087631
351,0.0,595,1620,1462,1620,1620,3696.0,26.97133526464343,-16.81685676087631
352,0.106,566,1448,1290,1448,1448,3696.0,26.97236034247117,-16.81685676087631
353,5.621,703,1583,1427,1583,1583,3696.0,26.973385420298907,-16.81685676087631
354,25.374,817,1469,1313,1469,1469,3696.0,26.97441049812666,-16.81685676087631
355,53.78,809,1456,1300,1456,1456,3696.0,26.975435575954396,-16.81685676087631
356,67.682,620,1353,1197,1353,1353,3696.0,26.97646065378214,-16.81685676087631
357,48.496,463,1276,1120,1276,1276,3696.0,26.97748573160988,-16.81685676087631
358,59.242,386,1199,1043,1199,1199,3696.0,26.978510809437626,-16.81685676087631
359,58.692,218,1256,1099,1256,1256,3696.0,26.979535887265367,-16.81685676087631
360,49.312,92,1149,993,1149,1149,3696.0,26.98056096509311,-16.81685676087631
361,45.442,147,1382,1226,1382,1382,3696.0,26.981586042920853,-16.81685676087631
362,45.888,147,1382,1226,1382,1382,3696.0,26.98261112074859,-16.81685676087631
363,31.296,586,1732,1575,1732,1732,3696.0,26.98466127640408,-16.81685676087631
364,17.891,586,1732,1575,1732,1732,3696.0,26.98568635423182,-16.81685676087631
365,4.717,862,1895,1852,2008,2008,3696.0,26.98671143205956,-16.81685676087631
366,27.537,496,1820,1972,2258,2258,3696.0,26.9877365098873,-16.81685676087631
367,1.312,533,1723,1875,2161,2161,3696.0,26.98876158771505,-16.81685676087631
368,5.71,467,1888,2040,2362,2362,3696.0,26.989786665542788,-16.81685676087631
369,34.258,532,1716,1868,2193,2193,3696.0,26.990811743370532,-16.81685676087631
370,0.0,647,2983,2825,2983,2983,3696.0,26.960131732263346,-16.817679160287
371,0.0,690,3027,2869,3027,3027,3696.0,26.96115681284098,-16.817679160287
372,0.0,658,2995,2836,2995,2995,3696.0,26.962181893418624,-16.817679160287
373,8.6,378,2016,1858,2016,2016,3696.0,26.967307296306828,-16.817679160287
374,18.778,419,1917,1758,1917,1917,3696.0,26.96833237688447,-16.817679160287
375,1.028,604,1620,1462,1620,1620,3696.0,26.970382538039754,-16.817679160286996
376,5.39,461,1826,1669,1826,1826,3696.0,26.971407618617402,-16.817679160287003
377,18.175,541,1745,1589,1745,1745,3696.0,26.97243269919504,-16.817679160287
378,55.66,703,1583,1427,1583,1583,3696.0,26.973457779772676,-16.817679160287
379,71.831,763,1643,1487,1643,1643,3696.0,26.974482860350324,-16.817679160287
380,59.224,683,1527,1371,1527,1527,3696.0,26.975507940927955,-16.817679160287
381,61.068,590,1447,1291,1447,1447,3696.0,26.976533021505606,-16.817679160287
382,75.59,435,1391,1235,1391,1391,3696.0,26.97755810208325,-16.817679160287
383,76.583,308,1309,1152,1309,1309,3696.0,26.978583182660888,-16.817679160287
384,54.241,218,1256,1099,1256,1256,3696.0,26.97960826323853,-16.817679160287003
385,69.987,0,1242,1086,1242,1242,3696.0,26.98063334381617,-16.817679160287
386,20.866,49,1291,1135,1291,1291,3696.0,26.98165842439381,-16.817679160287003
387,5.834,496,1820,1972,2258,2258,3696.0,26.987808907859662,-16.817679160287
388,18.033,319,1997,2150,2436,2436,3696.0,26.988833988437303,-16.817679160287
389,41.013,284,1972,2125,2411,2411,3696.0,26.989859069014944,-16.817679160287
390,67.15,306,1939,2091,2417,2417,3696.0,26.99088414959259,-16.817679160287
391,51.706,424,1815,1967,2293,2293,3696.0,26.991909230170226,-16.817679160287
392,0.018,617,2954,2795,2954,2954,3696.0,26.960204060067955,-16.818501561059378
393,0.213,712,3049,2890,3049,3049,3696.0,26.961229143395652,-16.818501561059378
394,0.337,733,3069,2911,3069,3069,3696.0,26.962254226723356,-16.81850156105938
395,32.094,366,2011,1853,2011,2011,3696.0,26.967379643361827,-16.818501561059378
396,8.228,419,1917,1758,1917,1917,3696.0,26.96840472668952,-16.818501561059378
397,5.284,238,2053,1897,2053,2053,3696.0,26.96942981001722,-16.818501561059378
