,POP_2015,active_living,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
110,120.987,1685,428,767,712,8553.0,80.17114304271,16.09284343153053
111,190.66,2013,618,1062,924,8553.0,80.1721657577462,16.09284343153053
112,99.75,1981,586,1030,892,8553.0,80.17318847278236,16.09284343153053
113,101.309,2290,534,1339,1067,8553.0,80.17421118781851,16.092843431530536
114,5.199,2290,534,1339,1067,8553.0,80.17523390285469,16.092843431530536
115,163.543,430,590,980,1509,8553.0,80.15866554736115,16.092022204248433
116,133.146,448,535,925,1490,8553.0,80.15968825978288,16.092022204248437
117,164.343,500,411,815,1425,8553.0,80.16071097220463,16.09202220424843
118,203.339,771,241,652,1324,8553.0,80.16173368462637,16.092022204248433
119,178.701,838,234,575,1235,8553.0,80.16275639704811,16.092022204248437
120,165.943,921,162,424,1226,8553.0,80.16377910946984,16.092022204248437
121,158.423,1129,66,396,1064,8553.0,80.1648018218916,16.092022204248437
122,175.062,1229,0,297,1018,8553.0,80.16582453431334,16.09202220424843
123,180.461,1316,41,402,921,8553.0,80.16684724673507,16.09202220424843
124,156.184,1320,130,381,809,8553.0,80.16786995915682,16.092022204248437
125,145.185,1436,260,485,769,8553.0,80.16889267157856,16.092022204248437
126,188.42,1524,349,574,710,8553.0,80.1699153840003,16.092022204248437
127,133.626,1646,334,696,619,8553.0,80.17093809642205,16.092022204248433
128,169.262,1931,536,980,842,8553.0,80.17196080884378,16.09202220424843
129,92.63,1878,483,927,789,8553.0,80.17298352126551,16.09202220424843
130,93.15,2184,428,1233,961,8553.0,80.17400623368725,16.092022204248433
131,52.714,495,519,909,1438,8553.0,80.15948335417596,16.09120097826271
132,135.106,549,457,847,1376,8553.0,80.16050606398342,16.091200978262712
133,86.671,639,367,757,1286,8553.0,80.16152877379088,16.09120097826271
134,120.307,792,270,612,1178,8553.0,80.16255148359835,16.091200978262705
135,110.668,895,168,509,1069,8553.0,80.16357419340581,16.09120097826271
136,136.066,1067,86,480,961,8553.0,80.1645969032133,16.091200978262705
137,200.699,1193,154,489,847,8553.0,80.16561961302075,16.091200978262712
138,157.703,1248,122,495,829,8553.0,80.1666423228282,16.091200978262705
139,178.021,1391,206,456,719,8553.0,80.16766503263567,16.09120097826271
140,176.182,1438,246,499,687,8553.0,80.16868774244313,16.091200978262705
141,153.584,1533,338,588,623,8553.0,80.1697104522506,16.09120097826271
142,143.625,1663,258,713,542,8553.0,80.17073316205808,16.09120097826271
143,184.661,1896,391,946,674,8553.0,80.17175587186553,16.09120097826271
144,171.902,1873,424,922,715,8553.0,80.17277858167299,16.09120097826271
145,152.704,2046,286,1095,820,8553.0,80.17380129148046,16.09120097826271
146,73.352,726,470,860,1389,8553.0,80.16030116768442,16.090379753573288
147,94.51,925,444,597,1368,8553.0,80.1613238748778,16.09037975357329
148,187.98,831,353,580,1254,8553.0,80.16234658207112,16.09037975357329
149,75.992,934,231,559,1132,8553.0,80.16336928926447,16.090379753573288
150,163.023,1049,23,591,884,8553.0,80.16439199645781,16.09037975357329
151,181.701,1134,108,558,791,8553.0,80.16541470365117,16.090379753573288
152,216.457,1189,163,602,737,8553.0,80.16643741084448,16.09037975357329
153,164.383,1331,243,545,660,8553.0,80.16746011803784,16.09037975357329
154,184.021,1399,297,616,558,8553.0,80.16848282523118,16.090379753573288
155,162.623,1577,253,652,537,8553.0,80.16950553242451,16.09037975357329
156,165.903,1639,196,723,480,8553.0,80.17052823961784,16.09037975357329
157,177.221,1853,301,945,584,8553.0,80.17155094681118,16.09037975357329
158,166.023,1896,359,974,641,8553.0,80.17257365400454,16.09037975357329
159,181.501,2039,225,1112,758,8553.0,80.17359636119788,16.090379753573288
160,147.145,2090,119,1218,756,8553.0,80.17461906839121,16.09037975357329
161,69.113,978,377,529,1364,8553.0,80.16111898788681,16.0895585301801
162,176.381,942,322,482,1267,8553.0,80.1621416924662,16.0895585301801
163,89.151,1045,299,452,930,8553.0,80.16316439704555,16.0895585301801
164,151.104,1154,129,573,809,8553.0,80.16418710162492,16.0895585301801
165,168.342,1223,198,619,721,8553.0,80.1652098062043,16.0895585301801
166,121.547,1314,289,716,633,8553.0,80.16623251078367,16.0895585301801
167,166.263,1371,345,660,606,8553.0,80.16725521536303,16.0895585301801
168,185.381,1586,201,825,456,8553.0,80.1682779199424,16.0895585301801
169,163.703,1515,190,712,474,8553.0,80.1693006245218,16.0895585301801
170,158.543,1597,108,793,393,8553.0,80.17032332910115,16.0895585301801
