,POP_2015,active_living,community_space,education,health_wellbeing,ID_HDC_G0,lng,lat
119,58.872,395,317,286,136,8607.0,83.03526979197864,24.21269737429918
120,79.536,496,419,181,237,8607.0,83.03632603893104,24.21269737429918
121,21.781,352,28,576,15,8607.0,83.03738228588341,24.21269737429918
122,32.164,389,243,535,275,8607.0,83.03843853283583,24.21269737429918
123,57.382,389,243,535,275,8607.0,83.03949477978821,24.21269737429918
124,70.871,22,802,22,805,8607.0,83.04055102674062,24.21269737429918
125,106.763,44,779,0,783,8607.0,83.04160727369302,24.212697374299175
126,89.017,877,800,199,618,8607.0,83.03493133027655,24.211859685324722
127,126.767,527,449,152,268,8607.0,83.03598757292356,24.211859685324722
128,86.474,646,568,33,387,8607.0,83.03704381557058,24.21185968532472
129,34.864,124,949,169,923,8607.0,83.04021254351157,24.21185968532472
130,111.507,124,949,169,923,8607.0,83.0412687861586,24.211859685324725
131,99.076,653,575,25,394,8607.0,83.03670536083351,24.211021998443034
132,104.62,497,732,0,551,8607.0,83.03776159917531,24.211021998443034
133,18.546,124,949,169,923,8607.0,83.03987407585895,24.211021998443034
134,168.29,124,949,169,923,8607.0,83.04093031420076,24.211021998443034
135,75.729,289,1027,248,906,8607.0,83.04198655254258,24.21102199844303
136,125.767,497,732,0,551,8607.0,83.03742315570858,24.210184313654032
137,73.557,538,770,41,588,8607.0,83.0384793897454,24.210184313654036
138,16.803,227,1013,270,832,8607.0,83.04059185781905,24.210184313654025
139,5.887,289,1027,248,906,8607.0,83.04164809185589,24.210184313654036
140,196.124,538,770,41,588,8607.0,83.03708472781688,24.209346630957615
141,85.559,538,770,41,588,8607.0,83.03814095754892,24.20934663095762
142,0.0,1132,1363,107,1181,8607.0,83.04097121720939,24.208508950353696
143,0.0,1132,1363,107,1181,8607.0,83.04202744263682,24.2085089503537
144,4.058,799,1030,0,849,8607.0,83.03852036100253,24.207671271842184
145,14.689,1239,1471,0,1289,8607.0,83.04063280324858,24.20767127184218
146,4.601,1239,1471,0,1289,8607.0,83.04168902437162,24.207671271842177
147,37.207,1239,1471,0,1289,8607.0,83.0413506216809,24.206833595422978
148,83.159,1186,939,386,1236,8607.0,83.0371668953284,24.20432057871837
149,47.266,1426,1180,627,1476,8607.0,83.03927930314323,24.204320578718363
150,63.927,1426,1180,627,1476,8607.0,83.04033550705066,24.20432057871837
151,0.686,1264,861,465,1314,8607.0,83.03682856784083,24.203482910667514
152,56.925,1288,837,489,1338,8607.0,83.03788476744485,24.203482910667507
153,40.665,1426,1180,627,1476,8607.0,83.03894096704886,24.203482910667518
154,106.706,1498,1231,699,1548,8607.0,83.03999716665285,24.20348291066751
155,48.695,1600,1354,801,1650,8607.0,83.04105336625689,24.20348291066751
156,54.839,1428,697,629,1478,8607.0,83.03649025592463,24.20264524470852
157,73.671,1428,697,629,1478,8607.0,83.03754645122547,24.202645244708517
158,70.871,1811,1080,1011,1861,8607.0,83.03965884182703,24.20264524470852
159,97.505,1600,1354,801,1650,8607.0,83.04071503712785,24.20264524470852
160,62.669,2126,0,1326,2176,8607.0,83.0298148135926,24.201807580841297
161,43.666,2126,0,1326,2176,8607.0,83.03087100459037,24.201807580841294
162,19.547,1428,697,629,1478,8607.0,83.03615195957933,24.20180758084129
163,88.846,1428,697,629,1478,8607.0,83.0372081505771,24.201807580841297
164,37.007,1685,954,886,1735,8607.0,83.03932053257269,24.201807580841297
165,40.694,2295,169,1496,2345,8607.0,83.02842037193953,24.20096991906575
166,106.792,2295,169,1496,2345,8607.0,83.02947655863453,24.200969919065756
167,88.131,2295,169,1496,2345,8607.0,83.02913831924513,24.200132259381796
