,POP_2015,community_space,food_choices,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
84,533.774,1338,1372,2068,1879,2153,5169.0,39.44485607525539,15.621669866798676
85,407.18,1258,1334,1988,1896,2073,5169.0,39.44587731452256,15.621669866798676
86,81.761,1209,1286,1939,1980,2024,5169.0,39.44689855378975,15.621669866798676
87,0.0,1117,1193,1847,2089,1932,5169.0,39.447919793056926,15.621669866798676
88,93.673,1944,2810,280,4214,2901,5169.0,39.46528086059902,15.621669866798676
89,0.541,1944,2810,281,4214,2901,5169.0,39.4663020998662,15.621669866798676
90,40.177,2099,2965,661,4369,3056,5169.0,39.46834457840056,15.621669866798676
91,114.682,2420,3286,981,4689,3376,5169.0,39.470387056934925,15.621669866798676
92,161.031,2415,3281,977,4685,3372,5169.0,39.47140829620211,15.621669866798676
93,55.121,2520,3386,1082,4789,3476,5169.0,39.47242953546928,15.621669866798676
94,0.758,5000,5000,5000,5000,5000,5169.0,39.47651449253802,15.621669866798674
95,361.372,5000,5000,5000,5000,5000,5169.0,39.4775357318052,15.621669866798676
96,198.392,5000,5000,5000,5000,5000,5169.0,39.47855697107238,15.621669866798676
97,6.064,5000,5000,5000,5000,5000,5169.0,39.47957821033956,15.621669866798678
98,585.538,2290,430,2887,211,2937,5169.0,39.432503605138194,15.620849371608843
99,519.046,2264,401,2861,238,2912,5169.0,39.43352484187772,15.62084937160884
100,429.813,2153,224,2750,337,2800,5169.0,39.434546078617245,15.620849371608841
101,385.413,2085,157,2682,449,2733,5169.0,39.43556731535678,15.620849371608845
102,24.149,1961,32,2558,476,2608,5169.0,39.43658855209632,15.620849371608843
103,2.599,1670,258,2267,568,2317,5169.0,39.43760978883584,15.620849371608845
104,0.0,1603,324,2200,635,2250,5169.0,39.438631025575376,15.620849371608843
105,231.963,1553,1449,2154,1759,2204,5169.0,39.440673499054434,15.620849371608841
106,374.042,1392,1299,2036,1656,2095,5169.0,39.441694735793966,15.620849371608841
107,452.338,1362,1280,2048,1709,2116,5169.0,39.4427159725335,15.620849371608841
108,524.461,1336,1303,2033,1772,2114,5169.0,39.44373720927304,15.62084937160884
109,492.406,1241,1265,1972,1759,2057,5169.0,39.444758446012564,15.620849371608843
110,216.477,1256,1314,1987,1821,2072,5169.0,39.44577968275209,15.62084937160884
111,19.493,1117,1193,1847,2089,1932,5169.0,39.44680091949162,15.620849371608845
112,9.53,1117,1193,1847,2089,1932,5169.0,39.447822156231155,15.620849371608841
113,0.0,1664,2530,746,3934,2621,5169.0,39.463140707324115,15.620849371608841
114,0.0,1917,2783,307,4187,2874,5169.0,39.46518318080317,15.620849371608845
115,0.0,1831,2697,393,4101,2788,5169.0,39.46620441754271,15.620849371608841
116,2.382,2389,3255,951,4659,3346,5169.0,39.47028936450084,15.620849371608841
117,16.46,2389,3255,951,4659,3346,5169.0,39.47131060124036,15.620849371608841
118,119.988,5000,5000,5000,5000,5000,5169.0,39.47743802167754,15.62084937160884
119,252.646,5000,5000,5000,5000,5000,5169.0,39.478459258417075,15.620849371608841
120,352.817,5000,5000,5000,5000,5000,5169.0,39.479480495156615,15.620849371608843
121,278.637,2192,490,2789,309,2839,5169.0,39.432406012029006,15.620028877673473
122,460.893,2192,490,2789,309,2839,5169.0,39.433427246241024,15.620028877673475
123,190.811,2058,300,2655,444,2705,5169.0,39.434448480453064,15.620028877673473
124,272.031,1999,134,2596,537,2647,5169.0,39.43546971466509,15.620028877673475
125,174.676,2030,103,2627,506,2677,5169.0,39.43649094887712,15.620028877673475
126,121.829,2115,236,2712,679,2762,5169.0,39.43751218308916,15.620028877673475
127,17.327,1492,1388,2093,1698,2143,5169.0,39.440575885725245,15.620028877673475
128,300.945,1492,1388,2093,1698,2143,5169.0,39.44159711993726,15.620028877673473
129,319.68,1254,1172,1940,1598,2008,5169.0,39.44261835414931,15.620028877673473
130,362.238,1281,1203,1970,1656,2038,5169.0,39.44363958836134,15.620028877673475
131,340.147,1211,1172,1924,1657,1995,5169.0,39.444660822573375,15.620028877673475
132,93.781,1058,1092,1789,1733,1874,5169.0,39.4456820567854,15.620028877673473
133,145.329,951,1028,1682,1896,1767,5169.0,39.44670329099743,15.620028877673473
134,74.722,1029,1105,1759,2033,1844,5169.0,39.44772452520946,15.620028877673475
135,0.0,1664,2530,746,3934,2621,5169.0,39.46304303838991,15.620028877673475
136,0.108,1786,2652,438,4056,2743,5169.0,39.466106741026,15.620028877673475
137,118.472,5000,5000,5000,5000,5000,5169.0,39.47734031735834,15.620028877673473
138,239.868,5000,5000,5000,5000,5000,5169.0,39.47836155157037,15.620028877673473
139,147.278,5000,5000,5000,5000,5000,5169.0,39.479382785782406,15.620028877673475
140,68.333,2349,647,2946,466,2996,5169.0,39.43230842472152,15.619208384992493
141,331.483,2030,328,2627,472,2677,5169.0,39.434350888090876,15.619208384992493
142,98.113,1917,216,2514,584,2565,5169.0,39.435372119775565,15.6192083849925
143,19.276,2115,236,2712,679,2762,5169.0,39.43639335146025,15.619208384992495
144,55.013,2115,236,2712,679,2762,5169.0,39.43741458314493,15.619208384992495
145,26.965,1292,1183,1888,1494,1939,5169.0,39.44149950988365,15.619208384992493
146,204.456,1292,1183,1888,1494,1939,5169.0,39.44252074156833,15.619208384992499
147,234.237,1172,1090,1857,1538,1925,5169.0,39.443541973253005,15.619208384992493
148,359.639,1155,1073,1840,1570,1908,5169.0,39.44456320493769,15.619208384992495
149,406.53,1010,1010,1732,1763,1817,5169.0,39.44558443662236,15.619208384992495
150,375.558,952,1008,1683,1867,1768,5169.0,39.44660566830704,15.619208384992495
151,65.517,868,945,1599,1979,1683,5169.0,39.447626899991725,15.619208384992495
152,0.0,1501,2367,909,3771,2458,5169.0,39.46294537526193,15.619208384992495
153,149.227,5000,5000,5000,5000,5000,5169.0,39.47826385053214,15.619208384992495
154,122.262,5000,5000,5000,5000,5000,5169.0,39.47928508221681,15.619208384992493
155,534.424,1175,1076,1781,1387,1832,5169.0,39.44242313479043,15.618387893565835
156,303.436,1087,1005,1764,1437,1832,5169.0,39.44344436394791,15.618387893565838
157,269.432,1009,928,1695,1514,1763,5169.0,39.4444655931054,15.618387893565833
158,517.855,1004,922,1690,1686,1758,5169.0,39.44548682226287,15.618387893565835
159,405.664,874,842,1589,1876,1674,5169.0,39.44650805142035,15.618387893565835
160,430.571,784,861,1515,2063,1600,5169.0,39.44752928057783,15.618387893565835
161,210.412,743,820,1474,2052,1559,5169.0,39.448550509735306,15.618387893565837
162,0.541,712,789,1443,2164,1528,5169.0,39.449571738892786,15.618387893565835
163,0.866,1501,2367,909,3771,2458,5169.0,39.46284771794004,15.618387893565833
164,0.866,1540,2406,684,3810,2497,5169.0,39.465911405412484,15.618387893565833
165,59.236,1540,2406,684,3810,2497,5169.0,39.466932634569964,15.618387893565835
166,123.778,5000,5000,5000,5000,5000,5169.0,39.478166155302254,15.618387893565835
167,169.911,5000,5000,5000,5000,5000,5169.0,39.479187384459735,15.618387893565835
168,159.84,1040,932,1637,1242,1687,5169.0,39.442325533815506,15.61756740339342
169,128.002,1083,1001,1768,1431,1836,5169.0,39.44334676044594,15.617567403393421
170,301.595,939,858,1625,1584,1693,5169.0,39.44436798707636,15.617567403393421
171,247.34,895,813,1581,1683,1649,5169.0,39.4453892137068,15.617567403393421
172,355.741,909,827,1594,1785,1662,5169.0,39.44641044033723,15.617567403393421
173,478.22,769,816,1499,1993,1584,5169.0,39.44743166696765,15.61756740339342
174,282.21,682,759,1413,2063,1498,5169.0,39.44845289359809,15.617567403393421
175,2.599,615,692,1345,2192,1430,5169.0,39.44947412022852,15.617567403393423
176,2.491,1339,2205,1071,3608,2295,5169.0,39.46275006642412,15.617567403393423
177,118.905,1339,2205,1071,3608,2295,5169.0,39.46377129305455,15.617567403393421
178,40.177,1342,2208,882,3611,2298,5169.0,39.464792519684984,15.61756740339342
179,388.987,1342,2208,882,3611,2298,5169.0,39.46581374631542,15.617567403393421
180,279.72,1478,2344,746,3748,2435,5169.0,39.46683497294585,15.61756740339342
181,4.981,5000,5000,5000,5000,5000,5169.0,39.47704723925015,15.617567403393423
182,345.02,5000,5000,5000,5000,5000,5169.0,39.478068465880575,15.617567403393421
183,0.0,1018,910,1615,1220,1665,5169.0,39.44222793864342,15.616746914475176
184,38.119,1083,1001,1768,1431,1836,5169.0,39.44324916274696,15.61674691447518
185,374.259,1008,926,1694,1562,1762,5169.0,39.444270386850484,15.61674691447518
186,276.362,794,712,1479,1722,1547,5169.0,39.44529161095401,15.616746914475176
187,36.061,757,711,1458,1880,1543,5169.0,39.44631283505753,15.616746914475176
188,106.452,702,704,1433,2007,1518,5169.0,39.44733405916107,15.61674691447518
189,416.06,613,690,1344,2081,1429,5169.0,39.448355283264604,15.616746914475176
190,21.767,583,660,1314,2176,1399,5169.0,39.44937650736815,15.616746914475177
191,2.599,1339,2205,1071,3608,2295,5169.0,39.46265242071405,15.61674691447518
192,204.889,1252,2118,1073,3521,2208,5169.0,39.463673644817575,15.616746914475176
