,POP_2015,active_living,community_space,education,food_choices,mobility,ID_HDC_G0,lng,lat
119,96.294,1014,510,0,478,1224,10360.0,99.60105475535131,21.29795047110061
120,8.04,1052,278,1088,881,889,10360.0,99.60522423515584,21.29795047110061
121,109.208,1096,323,1132,926,933,10360.0,99.60626660510697,21.29795047110061
122,148.497,1141,367,1176,970,977,10360.0,99.6073089750581,21.297950471100613
123,91.128,1164,364,1289,1019,882,10360.0,99.60835134500923,21.29795047110061
124,138.821,1349,388,1378,1204,1063,10360.0,99.60939371496036,21.297950471100613
125,159.629,1678,172,1103,1047,1041,10360.0,99.61252082481374,21.29795047110061
126,131.981,1678,172,1103,1047,1041,10360.0,99.61356319476488,21.297950471100613
127,93.711,1701,195,981,1020,919,10360.0,99.61460556471602,21.297950471100613
128,68.501,1899,393,1180,822,1118,10360.0,99.61564793466712,21.29795047110061
129,102.369,1899,393,1180,822,1118,10360.0,99.61669030461827,21.297950471100613
130,128.125,2183,676,1299,721,1237,10360.0,99.61773267456938,21.297950471100613
131,94.73,2214,708,1268,753,1206,10360.0,99.61877504452052,21.297950471100613
132,131.254,2410,903,1355,683,1293,10360.0,99.61981741447165,21.297950471100613
133,85.599,2514,1008,1413,787,1351,10360.0,99.6208597844228,21.297950471100613
134,16.443,1175,873,740,827,1756,10360.0,99.59445185034302,21.29711955501937
135,130.308,919,519,221,487,1234,10360.0,99.59862131555002,21.297119555019368
136,176.836,942,490,192,458,1205,10360.0,99.5996636818518,21.297119555019368
137,124.087,946,442,67,410,1156,10360.0,99.60070604815354,21.29711955501937
138,47.401,946,172,812,606,783,10360.0,99.6038331470588,21.29711955501937
139,2.037,1052,278,1088,881,889,10360.0,99.60487551336053,21.297119555019368
140,108.772,965,192,1001,795,802,10360.0,99.6059178796623,21.297119555019368
141,146.351,1164,364,1289,1019,882,10360.0,99.60696024596406,21.29711955501937
142,153.008,1148,348,1303,1003,866,10360.0,99.60800261226579,21.297119555019368
143,127.871,1336,375,1365,1191,1050,10360.0,99.60904497856755,21.29711955501937
144,139.148,1253,253,1243,1108,927,10360.0,99.6100873448693,21.297119555019368
145,96.185,1317,188,1202,1172,992,10360.0,99.61112971117105,21.29711955501937
146,90.619,1506,0,1054,1215,992,10360.0,99.61217207747279,21.297119555019368
147,71.884,1579,73,993,1154,931,10360.0,99.61321444377454,21.29711955501937
148,147.988,1783,277,899,1103,837,10360.0,99.6142568100763,21.297119555019368
149,136.274,1783,277,899,1103,837,10360.0,99.61529917637806,21.29711955501937
150,111.9,2015,508,1069,937,1007,10360.0,99.6163415426798,21.29711955501937
151,118.667,2046,540,1037,969,975,10360.0,99.61738390898155,21.297119555019368
152,102.151,2262,792,1187,838,1125,10360.0,99.61842627528331,21.29711955501937
153,113.829,2242,842,1137,889,1075,10360.0,99.61946864158506,21.297119555019368
154,130.563,2382,982,1277,763,1215,10360.0,99.6205110078868,21.29711955501937
155,154.9,2400,1186,1290,997,1228,10360.0,99.62155337418857,21.297119555019368
156,25.247,2400,1186,1290,997,1228,10360.0,99.62259574049033,21.297119555019368
157,102.297,1175,873,740,827,1756,10360.0,99.59410318206312,21.29628864072657
158,89.819,1066,933,632,722,1647,10360.0,99.59514554471568,21.29628864072657
159,85.453,1066,933,632,722,1647,10360.0,99.59618790736825,21.29628864072657
160,110.009,927,794,492,582,1508,10360.0,99.59723027002076,21.29628864072657
161,143.55,786,652,354,603,1367,10360.0,99.59827263267334,21.29628864072657
162,93.711,908,403,106,371,1118,10360.0,99.59931499532588,21.29628864072657
163,116.084,908,403,106,371,1118,10360.0,99.60035735797842,21.29628864072657
164,137.584,900,396,333,364,978,10360.0,99.60139972063101,21.29628864072657
165,163.594,847,290,447,470,864,10360.0,99.60244208328356,21.296288640726573
166,108.408,946,172,812,606,783,10360.0,99.60348444593609,21.296288640726573
167,78.614,946,172,812,606,783,10360.0,99.60452680858866,21.29628864072657
168,92.329,869,95,905,699,706,10360.0,99.60556917124119,21.29628864072657
