,POP_2015,active_living,community_space,education,food_choices,health_wellbeing,nightlife,ID_HDC_G0,lng,lat
142,468.57,1478,340,803,472,547,1177,1878.0,-0.776274387334761,35.747452752139175
143,391.167,1488,350,813,462,537,1187,1878.0,-0.7751386530445857,35.747452752139175
144,446.807,1357,219,683,293,368,1057,1878.0,-0.7740029187544104,35.74745275213917
145,549.689,1291,205,840,208,337,1214,1878.0,-0.7728671844642353,35.747452752139175
146,464.683,1157,329,740,106,163,1254,1878.0,-0.77173145017406,35.74745275213917
147,222.493,1038,451,619,128,41,1298,1878.0,-0.7705957158838849,35.747452752139175
148,261.757,1038,476,577,128,0,1298,1878.0,-0.7694599815937097,35.747452752139175
149,207.332,1056,831,501,563,436,1397,1878.0,-0.7683242473035341,35.74745275213917
150,133.211,880,767,325,419,291,1573,1878.0,-0.7671885130133592,35.747452752139175
151,11.662,2207,914,1059,1130,1318,845,1878.0,-0.7830834200212181,35.746577288876026
152,283.786,2087,794,1105,1006,1198,948,1878.0,-0.7819476935237254,35.746577288876026
153,684.844,1947,683,1008,920,1093,972,1878.0,-0.780811967026233,35.746577288876026
154,820.517,1795,530,856,849,941,1034,1878.0,-0.7796762405287402,35.746577288876026
155,702.208,1686,421,811,740,832,1106,1878.0,-0.7785405140312475,35.746577288876026
156,477.9,1600,336,790,655,746,1164,1878.0,-0.7774047875337547,35.746577288876026
157,481.27,1460,186,833,514,643,1208,1878.0,-0.7762690610362621,35.746577288876026
158,478.16,1399,151,948,454,582,1322,1878.0,-0.7751333345387694,35.746577288876026
159,455.741,1276,77,825,284,412,1200,1878.0,-0.7739976080412766,35.74657728887603
160,504.206,1276,170,875,193,321,1249,1878.0,-0.7728618815437839,35.746577288876026
161,391.858,1192,237,815,109,238,1313,1878.0,-0.7717261550462913,35.746577288876026
162,443.172,1062,367,685,20,108,1336,1878.0,-0.7705904285487984,35.746577288876026
163,377.604,996,434,619,86,41,1340,1878.0,-0.769454702051306,35.746577288876026
164,423.346,827,714,339,366,238,1536,1878.0,-0.7683189755538133,35.746577288876026
165,469.866,773,766,300,378,291,1590,1878.0,-0.7671832490563203,35.746577288876026
166,473.106,729,810,302,360,335,1634,1878.0,-0.7660475225588279,35.746577288876026
167,0.0,2003,739,1064,920,1149,985,1878.0,-0.7819423284967693,35.74570182923479
168,166.384,1908,643,1038,779,1054,1123,1878.0,-0.7808066097916179,35.74570182923478
169,524.809,1899,634,1023,778,1045,1108,1878.0,-0.7796708910864664,35.74570182923479
170,545.672,1754,498,952,756,909,1248,1878.0,-0.7785351723813149,35.74570182923478
171,704.411,1620,395,999,652,807,1374,1878.0,-0.7773994536761635,35.74570182923478
172,530.122,1494,265,913,548,677,1288,1878.0,-0.7762637349710121,35.74570182923479
173,438.119,1365,136,948,420,549,1322,1878.0,-0.7751280162658606,35.74570182923479
174,576.513,1283,131,902,336,474,1276,1878.0,-0.7739922975607091,35.74570182923478
175,517.164,1107,236,866,247,375,1358,1878.0,-0.7728565788555575,35.74570182923478
176,323.049,1029,274,788,197,325,1396,1878.0,-0.7717208601504064,35.74570182923479
177,485.157,945,500,704,182,228,1469,1878.0,-0.7705851414452547,35.74570182923479
178,533.103,897,533,656,200,247,1516,1878.0,-0.7694494227401033,35.74570182923479
179,463.128,736,654,459,228,301,1599,1878.0,-0.7683137040349518,35.74570182923478
180,583.51,729,810,302,360,335,1634,1878.0,-0.7671779853298005,35.74570182923478
181,421.921,645,895,244,276,420,1718,1878.0,-0.7660422666246491,35.74570182923479
182,468.83,591,1030,21,224,555,1853,1878.0,-0.7649065479194977,35.74570182923479
183,246.077,613,1052,0,246,577,1875,1878.0,-0.763770829214346,35.74570182923478
184,0.0,1908,643,1038,779,1054,1123,1878.0,-0.7808012527916053,35.744826373215325
185,99.39,1838,601,1051,708,1012,1173,1878.0,-0.779665541878454,35.744826373215325
186,600.615,1713,488,1063,655,900,1323,1878.0,-0.7785298309653027,35.744826373215325
187,457.686,1599,373,1212,510,785,1415,1878.0,-0.7773941200521511,35.744826373215325
188,498.245,1498,272,1112,512,684,1486,1878.0,-0.7762584091389997,35.744826373215325
189,486.582,1444,403,1194,372,767,1568,1878.0,-0.7751226982258482,35.744826373215325
190,476.086,1318,325,1073,258,646,1447,1878.0,-0.7739869873126968,35.74482637321532
191,520.533,1266,273,1021,198,594,1395,1878.0,-0.7728512763995453,35.74482637321532
192,560.185,1054,364,815,233,429,1487,1878.0,-0.7717155654863939,35.744826373215325
193,426.456,985,329,744,223,352,1451,1878.0,-0.7705798545732423,35.74482637321532
194,396.263,828,464,587,264,316,1585,1878.0,-0.7694441436600911,35.744826373215325
195,591.803,703,589,491,140,417,1710,1878.0,-0.7683084327469396,35.74482637321532
196,499.541,641,749,380,133,396,1694,1878.0,-0.7671727218337882,35.74482637321532
197,520.015,564,976,163,195,501,1799,1878.0,-0.7660370109206368,35.744826373215325
198,381.491,506,974,106,140,558,1857,1878.0,-0.7649013000074852,35.74482637321532
199,305.944,613,1052,0,246,577,1875,1878.0,-0.763765589094334,35.744826373215325
200,252.427,483,1217,165,283,742,2041,1878.0,-0.7626298781811826,35.74482637321532
201,330.954,432,1311,259,245,738,2135,1878.0,-0.7614941672680313,35.744826373215325
202,115.458,1710,484,1161,578,896,1313,1878.0,-0.7785244897831987,35.74395092081749
203,613.703,1620,433,1254,449,845,1459,1878.0,-0.777388786661706,35.74395092081749
204,454.835,1561,444,1275,390,857,1516,1878.0,-0.7762530835402134,35.743950920817504
205,503.947,1470,442,1222,325,798,1600,1878.0,-0.7751173804187207,35.74395092081749
206,631.974,1421,428,1176,353,749,1550,1878.0,-0.773981677297228,35.743950920817504
207,621.348,1307,314,1062,157,635,1436,1878.0,-0.7728459741757355,35.743950920817504
208,603.595,1028,391,789,260,448,1513,1878.0,-0.7717102710542427,35.74395092081749
209,474.013,953,466,714,217,442,1588,1878.0,-0.7705745679327503,35.743950920817504
210,510.944,805,598,593,241,460,1720,1878.0,-0.7694388648112578,35.743950920817504
211,480.751,653,646,441,89,474,1767,1878.0,-0.7683031616897649,35.7439509208175
212,416.478,561,780,324,25,518,1814,1878.0,-0.7671674585682723,35.7439509208175
213,475.568,483,834,271,24,555,1853,1878.0,-0.7660317554467797,35.7439509208175
214,495.135,453,964,159,180,612,1910,1878.0,-0.764896052325287,35.743950920817504
215,303.612,347,1027,265,143,658,2016,1878.0,-0.7637603492037943,35.7439509208175
216,449.522,372,1192,276,172,683,2152,1878.0,-0.7626246460823018,35.743950920817504
217,507.575,347,1377,325,307,652,2201,1878.0,-0.761488942960809,35.7439509208175
218,235.063,347,1377,325,307,652,2201,1878.0,-0.7603532398393165,35.7439509208175
219,215.625,224,1655,603,585,528,2479,1878.0,-0.7592175367178237,35.7439509208175
220,179.472,219,1717,665,646,524,2541,1878.0,-0.7580818335963313,35.743950920817504
221,13.865,1494,465,1255,323,878,1558,1878.0,-0.7762477581746418,35.74307547204116
222,186.599,1393,548,1154,222,790,1660,1878.0,-0.775112062844467,35.74307547204116
223,361.535,1275,475,1036,104,672,1598,1878.0,-0.7739763675142916,35.74307547204116
224,308.925,1196,446,957,25,618,1569,1878.0,-0.7728406721841167,35.74307547204116
225,422.569,881,726,669,317,577,1847,1878.0,-0.7694335861935916,35.74307547204117
226,483.732,881,726,669,317,577,1847,1878.0,-0.7682978908634165,35.743075472041156
227,506.02,445,847,276,62,593,1891,1878.0,-0.7660265002030664,35.74307547204116
228,363.479,323,969,324,120,635,2013,1878.0,-0.7648908048728913,35.74307547204116
229,319.032,276,1035,336,72,587,2060,1878.0,-0.7637551095427163,35.74307547204116
230,447.578,159,1132,453,43,471,2176,1878.0,-0.7626194142125414,35.74307547204116
231,488.526,252,1302,396,212,564,2272,1878.0,-0.7614837188823661,35.74307547204116
232,211.22,131,1424,709,334,442,2468,1878.0,-0.760348023552191,35.74307547204116
233,457.167,191,1623,571,552,496,2447,1878.0,-0.7592123282220162,35.74307547204116
234,429.307,145,1709,656,638,450,2532,1878.0,-0.7580766328918412,35.74307547204117
235,485.805,50,1776,621,705,355,2599,1878.0,-0.7569409375616662,35.74307547204116
236,250.613,257,1983,655,844,398,2806,1878.0,-0.7558052422314911,35.74307547204116
237,68.808,375,2101,537,726,516,2925,1878.0,-0.754669546901316,35.74307547204116
238,252.945,1275,524,1064,92,720,1646,1878.0,-0.7739710579638766,35.74220002688618
239,407.537,1230,546,1018,47,719,1668,1878.0,-0.7728353704246778,35.74220002688618
240,468.83,1088,620,876,94,729,1742,1878.0,-0.7716996828854792,35.74220002688618
241,422.957,1051,733,840,208,748,1856,1878.0,-0.7705639953462805,35.74220002688618
242,479.974,881,726,669,317,577,1847,1878.0,-0.7694283078070817,35.74220002688619
243,407.148,824,1180,751,440,888,2262,1878.0,-0.7682926202678831,35.742200026886174
244,269.013,638,1383,704,434,949,2427,1878.0,-0.7671569327286842,35.74220002688618
245,378.251,638,1383,704,434,949,2427,1878.0,-0.766021245189486,35.74220002688618
246,446.153,382,1128,448,179,693,2172,1878.0,-0.7648855576502871,35.742200026886174
247,508.093,667,1687,768,667,758,2731,1878.0,-0.7637498701110885,35.74220002688618
248,362.831,140,1152,472,62,452,2195,1878.0,-0.76261418257189,35.74220002688619
249,222.104,0,1292,577,203,311,2336,1878.0,-0.7614784950326913,35.74220002688618
250,354.279,206,1498,638,409,374,2514,1878.0,-0.7603428074934926,35.74220002688618
251,496.431,83,1642,589,571,383,2471,1878.0,-0.7592071199542939,35.74220002688618
252,518.978,25,1751,596,680,330,2574,1878.0,-0.7580714324150952,35.74220002688618
253,437.73,83,1809,491,681,224,2633,1878.0,-0.7569357448758969,35.74220002688618
254,503.169,287,2013,586,775,428,2836,1878.0,-0.7558000573366982,35.74220002688618
255,308.147,375,2101,537,726,516,2925,1878.0,-0.7546643697974992,35.74220002688618
256,214.589,530,1933,555,710,592,3079,1878.0,-0.7535286822583008,35.74220002688618
257,44.317,555,1958,580,735,617,3104,1878.0,-0.7523929947191019,35.742200026886174
258,0.0,1616,859,1404,433,1061,1688,1878.0,-0.7773727878916609,35.74132458535241
259,0.0,1616,859,1404,433,1061,1688,1878.0,-0.7762371081430973,35.7413245853524
260,147.854,1514,762,1302,330,958,1791,1878.0,-0.7751014283945341,35.74132458535241
261,528.438,1061,723,849,198,758,1846,1878.0,-0.7705587094002805,35.74132458535241
262,315.145,1065,1032,854,502,884,2153,1878.0,-0.7694230296517168,35.7413245853524
263,461.573,936,902,724,372,754,2024,1878.0,-0.7682873499031536,35.74132458535241
264,175.066,865,1221,792,481,929,2303,1878.0,-0.7671516701545902,35.74132458535241
265,309.314,530,1276,596,327,842,2320,1878.0,-0.7660159904060266,35.74132458535241
266,447.189,487,1232,553,283,798,2276,1878.0,-0.7648803106574631,35.7413245853524
267,418.163,934,2227,1070,1137,804,3271,1878.0,-0.7637446309088998,35.7413245853524
268,362.313,0,1292,577,203,311,2336,1878.0,-0.7614732714117729,35.74132458535241
