,POP_2015,education,food_choices,health_wellbeing,mobility,ID_HDC_G0,lng,lat
187,5.498,5000,1371,795,1700,6591.0,75.64712452888908,32.2834452361065
188,25.821,5000,1487,202,1730,6591.0,75.65155335538279,32.2834452361065
189,44.216,5000,1379,154,1622,6591.0,75.65266056200619,32.2834452361065
190,11.569,5000,1506,281,1749,6591.0,75.65376776862965,32.2834452361065
191,40.464,5000,1455,107,1699,6591.0,75.65487497525307,32.2834452361065
192,94.138,5000,1611,398,1855,6591.0,75.65708938849988,32.283445236106495
193,64.122,5000,1668,455,1912,6591.0,75.65819659512331,32.283445236106495
194,94.92,5000,2000,787,2244,6591.0,75.65930380174676,32.2834452361065
195,178.871,5000,1854,562,2098,6591.0,75.66041100837018,32.2834452361065
196,93.982,5000,1838,545,2082,6591.0,75.66151821499359,32.2834452361065
197,142.68,5000,1950,657,2194,6591.0,75.66262542161702,32.2834452361065
198,153.727,5000,2017,674,2260,6591.0,75.66373262824044,32.2834452361065
199,51.355,5000,2076,733,2320,6591.0,75.66483983486387,32.2834452361065
200,92.106,5000,2201,858,2445,6591.0,75.6659470414873,32.283445236106495
201,66.754,5000,2476,1133,2720,6591.0,75.66705424811073,32.2834452361065
202,89.969,5000,2480,1137,2723,6591.0,75.66816145473413,32.283445236106495
203,21.209,5000,2600,1247,2844,6591.0,75.66926866135756,32.2834452361065
204,60.866,5000,2668,1316,2912,6591.0,75.670375867981,32.283445236106495
205,33.612,5000,2770,1417,3014,6591.0,75.67148307460441,32.283445236106495
206,2.423,5000,5000,5000,5000,6591.0,75.63339049043788,32.28258313627037
207,50.678,5000,5000,5000,5000,6591.0,75.63449769050948,32.28258313627038
208,52.945,5000,1888,170,2090,6591.0,75.63892649079584,32.28258313627038
209,113.315,5000,1850,132,2051,6591.0,75.64003369086744,32.282583136270375
210,64.852,5000,2015,297,2217,6591.0,75.641140890939,32.28258313627037
211,57.583,5000,2109,391,2311,6591.0,75.64224809101061,32.282583136270375
212,18.63,5000,1397,710,1726,6591.0,75.6433552910822,32.282583136270375
213,51.902,5000,1396,766,1726,6591.0,75.64446249115379,32.28258313627038
214,22.277,5000,1429,842,1758,6591.0,75.64556969122538,32.28258313627037
215,34.654,5000,1240,803,1569,6591.0,75.64667689129698,32.282583136270375
216,6.696,5000,1447,222,1690,6591.0,75.65110569158335,32.28258313627038
217,43.226,5000,1363,138,1606,6591.0,75.65221289165494,32.282583136270375
218,91.715,5000,1448,224,1692,6591.0,75.65332009172651,32.282583136270375
219,64.096,5000,1427,140,1670,6591.0,75.65442729179811,32.282583136270375
220,167.719,5000,1347,0,1591,6591.0,75.65553449186972,32.282583136270375
221,149.61,5000,1480,529,1724,6591.0,75.65664169194129,32.282583136270375
222,118.109,5000,1561,515,1805,6591.0,75.65774889201288,32.28258313627038
223,90.1,5000,1685,412,1928,6591.0,75.65885609208449,32.282583136270375
224,72.851,5000,1751,401,1994,6591.0,75.65996329215608,32.28258313627038
225,174.65,5000,1818,525,2062,6591.0,75.66107049222764,32.28258313627037
226,163.446,5000,1915,572,2158,6591.0,75.66217769229925,32.28258313627038
227,123.112,5000,1945,602,2189,6591.0,75.66328489237084,32.28258313627038
228,79.521,5000,2076,733,2320,6591.0,75.66439209244245,32.282583136270375
229,64.331,5000,2201,858,2445,6591.0,75.66549929251404,32.282583136270375
