,POP_2015,community_space,education,health_wellbeing,mobility,ID_HDC_G0,lng,lat
146,98.438,106,517,247,2224,12105.0,116.2649385328425,28.37491935048332
147,80.502,75,500,216,2255,12105.0,116.2660185852221,28.374919350483324
148,40.639,743,1168,789,3027,12105.0,116.27141884712009,28.37491935048332
149,49.773,0,647,2646,359,12105.0,116.23951929339728,28.374070169692335
150,101.032,359,773,2287,0,12105.0,116.24275943442355,28.374070169692335
151,124.311,359,773,2287,0,12105.0,116.2438394814323,28.374070169692335
152,79.992,512,624,2134,153,12105.0,116.24491952844106,28.374070169692335
153,97.085,936,958,1710,576,12105.0,116.24923971647605,28.374070169692335
154,116.152,1059,912,1586,700,12105.0,116.25031976348481,28.374070169692335
155,85.734,1179,792,1467,820,12105.0,116.25139981049357,28.37407016969233
156,94.957,1179,792,1467,820,12105.0,116.25247985750232,28.37407016969233
157,92.629,1164,949,1425,1342,12105.0,116.25355990451106,28.374070169692335
158,103.825,998,784,1259,1176,12105.0,116.25463995151982,28.374070169692335
159,96.598,1031,816,1292,1209,12105.0,116.25571999852858,28.374070169692335
160,113.625,1154,940,1415,1332,12105.0,116.25680004553733,28.374070169692338
161,94.225,444,347,969,1582,12105.0,116.25896013955482,28.374070169692335
162,90.434,444,347,969,1582,12105.0,116.26004018656356,28.374070169692327
163,102.473,265,517,653,1885,12105.0,116.26112023357233,28.374070169692335
164,80.945,138,486,276,2192,12105.0,116.26436037459858,28.374070169692338
165,98.859,106,500,247,2224,12105.0,116.26544042160734,28.374070169692327
166,39.795,19,405,195,2312,12105.0,116.2665204686161,28.37407016969234
167,31.858,2295,2228,4876,1204,12105.0,116.21842049292108,28.37322099147633
168,37.801,2295,2228,4876,1204,12105.0,116.2195005345592,28.37322099147633
169,96.487,590,1209,3205,949,12105.0,116.23570115913132,28.373220991476334
170,89.392,590,1209,3205,949,12105.0,116.23678120076947,28.37322099147633
171,66.712,402,1020,3017,761,12105.0,116.2378612424076,28.373220991476337
172,77.265,250,868,2865,609,12105.0,116.23894128404577,28.37322099147633
173,35.274,191,819,2838,550,12105.0,116.2400213256839,28.37322099147633
174,76.001,216,853,2773,576,12105.0,116.24110136732206,28.37322099147633
175,89.88,1164,949,1425,1342,12105.0,116.2529818253416,28.373220991476334
176,87.663,1161,947,1423,1339,12105.0,116.25406186697973,28.37322099147633
177,112.982,1047,832,1308,1225,12105.0,116.25514190861786,28.37322099147633
178,88.949,1153,939,1415,1332,12105.0,116.25622195025602,28.373220991476337
179,98.349,631,159,1104,1651,12105.0,116.25730199189414,28.373220991476337
