,POP_2015,community_space,education,mobility,ID_HDC_G0,lng,lat
67,36.015,1993,675,5,10796.0,116.30362973138114,39.452851305243875
68,7.56,1999,680,11,10796.0,116.304801373389,39.45285130524388
69,59.265,2365,1069,400,10796.0,116.3083162994126,39.45285130524388
70,55.783,2365,1069,400,10796.0,116.30948794142044,39.452851305243875
71,35.201,1964,648,23,10796.0,116.30269780940675,39.45195931276876
72,45.024,1975,660,34,10796.0,116.30386944202642,39.451959312768764
73,59.53,1884,750,125,10796.0,116.3050410746461,39.45195931276876
74,39.936,2365,1069,400,10796.0,116.30738433988546,39.45195931276876
75,30.922,2338,1048,423,10796.0,116.30855597250516,39.45195931276876
76,20.122,2636,1346,721,10796.0,116.31089923774454,39.451959312768764
77,26.271,2636,1346,721,10796.0,116.3120708703642,39.45195931276876
78,28.894,3117,1821,1151,10796.0,116.31675740084296,39.45195931276876
79,45.027,3090,1800,1175,10796.0,116.31792903346265,39.45195931276876
80,52.919,1559,1066,202,10796.0,116.30176592954358,39.4510673245741
81,47.667,1884,750,125,10796.0,116.30293755277553,39.4510673245741
82,88.562,1884,750,125,10796.0,116.30410917600746,39.451067324574105
83,97.526,2202,1184,559,10796.0,116.30762404570326,39.451067324574105
84,79.343,2202,1184,559,10796.0,116.30879566893519,39.4510673245741
85,48.723,3090,1800,1175,10796.0,116.3158254083268,39.45106732457409
86,47.496,3090,1800,1175,10796.0,116.31699703155873,39.4510673245741
87,2.755,3630,1377,1723,10796.0,116.3228551477184,39.4510673245741
88,14.348,3617,1364,1730,10796.0,116.32402677095033,39.4510673245741
89,96.623,1559,1066,202,10796.0,116.30083409178937,39.45017534065975
90,68.028,1749,863,0,10796.0,116.30317731947856,39.450175340659754
91,67.905,1749,863,0,10796.0,116.30434893332317,39.45017534065975
92,115.423,2158,1227,602,10796.0,116.307863774857,39.45017534065975
93,83.509,1995,1391,470,10796.0,116.30810352734564,39.4492833610255
94,69.69,1995,1391,470,10796.0,116.30927513180335,39.44928336102549
95,16.889,2055,1446,35,10796.0,116.28139661652999,39.4483913856712
96,65.414,1312,1313,215,10796.0,116.3001421376696,39.44839138567121
97,99.576,1302,1317,216,10796.0,116.3013137327408,39.4483913856712
98,105.439,1440,1172,68,10796.0,116.30248532781202,39.448391385671194
99,72.621,1514,1104,0,10796.0,116.30365692288326,39.448391385671194
100,91.025,1995,1391,470,10796.0,116.30717170809693,39.4483913856712
101,87.829,1890,1476,366,10796.0,116.30834330316814,39.4483913856712
102,31.076,2215,1790,691,10796.0,116.3118580883818,39.4483913856712
103,5.242,2055,1446,35,10796.0,116.28046504587937,39.44749941459667
104,10.353,1523,887,594,10796.0,116.28749455999042,39.447499414596685
105,74.076,1292,1321,216,10796.0,116.30038200252727,39.44749941459668
106,70.946,1509,1104,0,10796.0,116.30272517389763,39.447499414596685
107,104.755,1969,1554,444,10796.0,116.30741151663828,39.44749941459668
108,148.13,1969,1554,444,10796.0,116.30858310232345,39.447499414596685
109,26.316,2215,1790,691,10796.0,116.3109262736938,39.44749941459668
110,2.799,2215,1790,691,10796.0,116.31209785937897,39.447499414596685
111,15.568,1523,887,594,10796.0,116.28656297511932,39.44660744780177
112,3.52,635,754,873,10796.0,116.29593558551561,39.44660744780176
113,10.548,635,754,873,10796.0,116.29710716181513,39.44660744780175
114,80.908,1064,1183,444,10796.0,116.30062189071378,39.44660744780177
115,76.941,1064,1183,444,10796.0,116.30179346701333,39.44660744780176
116,75.685,1289,1337,233,10796.0,116.30413661961238,39.44660744780176
117,112.535,1969,1554,444,10796.0,116.30765134851099,39.44660744780176
118,5.254,635,754,873,10796.0,116.29500396765636,39.445715485286286
119,8.544,635,754,873,10796.0,116.2961755345707,39.44571548528629
120,93.713,1064,1183,444,10796.0,116.29969023531369,39.44571548528629
121,92.126,1064,1183,444,10796.0,116.30086180222801,39.445715485286286
122,57.7,1289,1337,233,10796.0,116.30320493605667,39.445715485286286
123,79.432,1250,1471,361,10796.0,116.30437650297102,39.44571548528629
124,58.78,1250,1471,361,10796.0,116.30344485212807,39.444823527050055
125,59.067,1628,1739,739,10796.0,116.30813108224629,39.444823527050055
126,44.256,1628,1739,739,10796.0,116.30930263977586,39.444823527050055
127,37.159,2910,657,2241,10796.0,116.3221897726009,39.44482352705007
128,109.428,1628,1739,739,10796.0,116.30719943596159,39.44393157309291
129,62.769,1628,1739,739,10796.0,116.3083709841068,39.443931573092925
130,17.195,1080,444,840,10796.0,116.28635167283056,39.4430396234147
131,20.564,1080,444,840,10796.0,116.28752321159183,39.4430396234147
132,13.29,635,0,1257,10796.0,116.29103782787561,39.443039623414705
133,9.135,635,0,1257,10796.0,116.29220936663684,39.4430396234147
134,16.481,635,0,1257,10796.0,116.29127791714203,39.44214767801522
135,93.118,871,1506,0,10796.0,116.30416474029721,39.44214767801521
136,112.337,972,1608,101,10796.0,116.30533626967494,39.44214767801522
137,93.493,1292,1390,623,10796.0,116.30885085780817,39.44214767801521
138,75.971,871,1506,0,10796.0,116.30323322967374,39.441255736894306
139,95.807,972,1608,101,10796.0,116.30440474966838,39.4412557368943
140,98.276,1292,1390,623,10796.0,116.30791930965235,39.441255736894306
141,97.725,1292,1390,623,10796.0,116.30909082964703,39.441255736894306
142,12.973,821,614,514,10796.0,116.28590061256996,39.4403638000518
143,15.619,821,614,514,10796.0,116.28707212318199,39.4403638000518
144,14.096,604,526,730,10796.0,116.28824363379397,39.440363800051806
145,14.909,604,526,730,10796.0,116.28941514440596,39.4403638000518
146,14.465,356,279,978,10796.0,116.29175816562996,39.4403638000518
147,14.651,0,635,668,10796.0,116.29527269746595,39.440363800051806
148,13.171,0,635,668,10796.0,116.29644420807793,39.44036380005179
149,80.071,407,1043,260,10796.0,116.29995873991392,39.440363800051784
150,71.828,407,1043,260,10796.0,116.30113025052594,39.4403638000518
151,87.895,668,1304,0,10796.0,116.30347327174991,39.4403638000518
152,103.962,679,1315,10,10796.0,116.30464478236189,39.4403638000518
153,90.826,779,1415,111,10796.0,116.3058162929739,39.4403638000518
154,14.937,821,614,514,10796.0,116.28496931747082,39.4394718674875
155,16.747,821,614,514,10796.0,116.2861408187006,39.439471867487505
156,10.068,604,526,730,10796.0,116.28848382116009,39.4394718674875
157,70.682,407,1043,260,10796.0,116.30019883345769,39.439471867487505
158,56.598,668,1304,0,10796.0,116.3025418359172,39.4394718674875
159,81.503,679,1315,10,10796.0,116.30371333714692,39.439471867487505
160,99.356,779,1415,111,10796.0,116.30488483837671,39.4394718674875
161,95.785,1077,1175,408,10796.0,116.3072278408362,39.439471867487505
162,79.454,1077,1175,408,10796.0,116.30839934206597,39.439471867487505
163,62.946,1486,766,817,10796.0,116.313085346985,39.439471867487505
164,38.349,1486,766,817,10796.0,116.31425684821474,39.4394718674875
165,2.182,2253,0,1584,10796.0,116.32245735682307,39.4394718674875
166,87.829,1486,766,817,10796.0,116.3121538687994,39.43857993920127
167,42.294,1486,766,817,10796.0,116.31332536064735,39.438579939201276
168,60.676,2253,0,1584,10796.0,116.32152580358293,39.438579939201276
169,17.929,1167,268,860,10796.0,116.28662130090119,39.437688015192926
170,17.08,961,509,1087,10796.0,116.2889642658343,39.43768801519293
171,8.286,1167,268,860,10796.0,116.28569010388348,39.436796095462284
172,16.953,961,509,1087,10796.0,116.28803305005464,39.43679609546228
173,14.179,961,509,1087,10796.0,116.2892045231402,39.436796095462284
174,10.524,727,649,1012,10796.0,116.29154746931138,39.43679609546228
175,6.988,602,785,877,10796.0,116.29271894239697,39.436796095462284
176,8.119,602,785,877,10796.0,116.29389041548255,39.43679609546227
177,12.215,389,998,663,10796.0,116.29506188856817,39.436796095462284
178,13.996,389,998,663,10796.0,116.29623336165375,39.43679609546229
179,88.358,772,1381,280,10796.0,116.29974778091047,39.436796095462284
180,78.616,772,1381,280,10796.0,116.30091925399604,39.436796095462284
181,60.896,1032,1138,5,10796.0,116.30326220016724,39.43679609546228
182,90.584,1037,1133,0,10796.0,116.30443367325282,39.436796095462284
183,82.605,1405,1503,389,10796.0,116.30794809250956,39.43679609546228
184,82.914,1405,1503,389,10796.0,116.30911956559513,39.43679609546228
185,100.854,1681,1254,665,10796.0,116.31146251176631,39.43679609546228
186,14.369,826,623,1076,10796.0,116.29178773116739,39.43590418000917
187,13.286,826,623,1076,10796.0,116.29295919487247,39.43590418000918
188,87.696,1405,1503,389,10796.0,116.30701675933294,39.435904180009175
189,57.744,1405,1503,389,10796.0,116.30818822303796,39.435904180009175
190,83.795,1681,1254,665,10796.0,116.31053115044807,39.435904180009175
191,98.408,1681,1254,665,10796.0,116.3117026141531,39.435904180009175
192,92.215,1950,985,934,10796.0,116.31404554156316,39.43590418000918
193,65.921,1950,985,934,10796.0,116.31521700526821,39.43590418000917
194,39.87,2558,377,1542,10796.0,116.32107432379341,39.435904180009175
195,24.751,2558,377,1542,10796.0,116.32224578749845,39.43590418000917
196,11.008,1436,0,1129,10796.0,116.28499929038487,39.43501226883344
197,14.496,1436,0,1129,10796.0,116.2861707447098,39.43501226883344
198,17.762,1193,255,1265,10796.0,116.28851365335966,39.43501226883344
199,19.421,1185,263,1257,10796.0,116.28968510768456,39.43501226883344
200,17.778,826,623,1076,10796.0,116.2908565620095,39.43501226883344
201,13.35,826,623,1076,10796.0,116.29202801633441,39.43501226883344
202,20.02,661,881,639,10796.0,116.29554237930921,39.43501226883345
203,20.933,661,881,639,10796.0,116.2967138336341,39.43501226883344
204,18.743,849,1068,452,10796.0,116.29788528795903,39.43501226883344
205,20.322,849,1068,452,10796.0,116.29905674228392,39.43501226883344
206,42.559,2558,377,1542,10796.0,116.32014292013251,39.43501226883343
207,23.781,2558,377,1542,10796.0,116.32131437445743,39.43501226883344
208,16.116,1436,0,1129,10796.0,116.28523965514,39.434120361934895
209,10.181,1189,259,1261,10796.0,116.28758254503045,39.43412036193489
210,12.497,1104,344,1176,10796.0,116.2887539899757,39.434120361934895
211,14.147,1104,344,1176,10796.0,116.28992543492089,39.434120361934895
212,11.969,915,534,986,10796.0,116.29109687986613,39.434120361934895
213,17.921,915,534,986,10796.0,116.29226832481136,39.434120361934895
214,18.624,661,881,639,10796.0,116.29461121470182,39.434120361934895
215,17.274,661,881,639,10796.0,116.29578265964702,39.43412036193489
216,15.635,849,1068,452,10796.0,116.29695410459226,39.43412036193489
217,14.31,849,1068,452,10796.0,116.29812554953747,39.43412036193489
218,18.012,1026,1126,274,10796.0,116.29929699448272,39.434120361934895
219,93.251,1026,1126,274,10796.0,116.3004684394279,39.43412036193489
220,99.885,1148,1004,153,10796.0,116.30163988437316,39.434120361934895
221,84.501,1312,849,126,10796.0,116.30281132931839,39.434120361934895
222,94.463,1323,847,252,10796.0,116.3039827742636,39.434120361934895
223,129.043,1692,1216,621,10796.0,116.30749710909929,39.434120361934895
224,73.966,1692,1216,621,10796.0,116.30866855404449,39.434120361934895
225,116.304,1692,1216,621,10796.0,116.30656588338861,39.433228459313376
226,64.224,1692,1216,621,10796.0,116.30773731895458,39.433228459313376
227,55.849,1985,1248,914,10796.0,116.31008019008647,39.43322845931337
228,57.127,1985,1248,914,10796.0,116.3112516256524,39.43322845931337
229,89.504,2228,1005,1157,10796.0,116.3135944967843,39.43322845931336
230,105.725,2228,1005,1157,10796.0,116.31476593235028,39.43322845931337
231,95.08,1576,594,0,10796.0,116.30329184737481,39.432336560968686
232,103.587,1576,594,0,10796.0,116.30446327356191,39.43233656096869
233,87.3,2228,1005,1157,10796.0,116.31266325687163,39.43233656096869
234,103.521,2228,1005,1157,10796.0,116.31383468305873,39.432336560968686
235,25.809,2777,791,1706,10796.0,116.31969181399428,39.43233656096869
236,30.988,2777,791,1706,10796.0,116.32086324018137,39.43233656096869
237,80.578,2899,912,1828,10796.0,116.32203466636847,39.43233656096869
238,67.244,1566,595,127,10796.0,116.30236072456078,39.43144466690069
239,26.734,1576,594,0,10796.0,116.30353214136946,39.43144466690069
240,71.299,2777,791,1706,10796.0,116.3187605598823,39.43144466690069
241,10.822,2777,791,1706,10796.0,116.31993197669097,39.43144466690068
242,44.917,2899,912,1828,10796.0,116.32110339349964,39.431444666900674
243,16.187,1646,725,1255,10796.0,116.28854416207486,39.4305527771092
244,17.124,1479,926,1054,10796.0,116.29088697693622,39.43055277710919
245,6.461,1395,1010,970,10796.0,116.29205838436692,39.43055277710919
246,17.02,1162,984,660,10796.0,116.29557260665892,39.4305527771092
247,16.461,1986,550,1660,10796.0,116.28527043043684,39.42966089159404
248,19.211,1646,725,1255,10796.0,116.28761322654303,39.42966089159404
249,20.298,1479,926,1054,10796.0,116.28995602264922,39.42966089159405
250,18.004,1395,1010,970,10796.0,116.29112742070232,39.42966089159403
251,18.096,1395,1010,970,10796.0,116.29229881875541,39.42966089159403
252,17.076,1162,984,660,10796.0,116.29464161486162,39.42966089159404
253,12.822,1162,984,660,10796.0,116.29581301291473,39.42966089159405
254,17.35,1423,727,402,10796.0,116.29815580902091,39.42966089159405
255,15.016,1509,643,319,10796.0,116.29932720707404,39.42966089159404
256,97.063,1625,521,196,10796.0,116.30049860512715,39.42966089159405
257,75.685,1625,521,196,10796.0,116.30167000318025,39.42966089159404
258,54.725,1816,330,5,10796.0,116.30284140123335,39.42966089159404
259,87.719,1822,324,0,10796.0,116.30401279928644,39.42966089159403
260,90.694,2146,0,324,10796.0,116.30635559539265,39.42966089159405
261,98.342,2146,0,324,10796.0,116.30752699344573,39.42966089159404
262,134.796,1811,335,11,10796.0,116.3019103858548,39.42876901035503
263,80.247,1822,324,0,10796.0,116.30308177453077,39.42876901035503
264,75.134,2146,0,324,10796.0,116.3065959405586,39.428769010355026
265,63.166,2685,548,873,10796.0,116.31245288393835,39.42876901035503
266,76.632,2685,548,873,10796.0,116.31362427261428,39.42876901035503
267,103.984,2980,843,1168,10796.0,116.31596704996618,39.42876901035503
268,101.648,2980,843,1168,10796.0,116.31713843864212,39.428769010355026
269,64.951,3077,940,1265,10796.0,116.31830982731807,39.42876901035503
270,97.835,1849,680,139,10796.0,116.30097941253572,39.42787713339202
271,116.921,1849,680,139,10796.0,116.30215079183496,39.42787713339202
272,102.838,1988,541,0,10796.0,116.30332217113418,39.427877133392016
273,111.61,2980,843,1168,10796.0,116.31620734342556,39.42787713339201
274,63.849,3077,940,1265,10796.0,116.31737872272478,39.427877133392016
275,18.79,1787,741,200,10796.0,116.3000484812738,39.426985260704825
276,103.411,1849,680,139,10796.0,116.30121985119675,39.426985260704825
277,73.922,1988,541,0,10796.0,116.30239122111965,39.426985260704825
278,79.674,3484,1498,2413,10796.0,116.31996176996334,39.426985260704825
279,78.352,3484,1498,2413,10796.0,116.32113313988624,39.426985260704825
280,12.631,2428,992,1649,10796.0,116.2838899049554,39.42609339229327
281,10.679,2428,992,1649,10796.0,116.2850612655024,39.426093392293275
282,16.362,2034,1413,1228,10796.0,116.28974670769051,39.426093392293275
283,27.241,3354,1217,1433,10796.0,116.3166880002722,39.42609339229327
284,61.932,3354,1217,1433,10796.0,116.31785936081921,39.42609339229327
285,79.828,3484,1498,2413,10796.0,116.31903072136626,39.42609339229327
286,106.254,3484,1498,2413,10796.0,116.3202020819133,39.426093392293275
287,14.492,2428,992,1649,10796.0,116.28413053085342,39.425201528157196
288,12.135,2064,1443,1258,10796.0,116.28881593553969,39.425201528157196
289,15.29,2094,1473,1288,10796.0,116.28998728671124,39.42520152815718
290,11.167,1714,1537,702,10796.0,116.29467269139754,39.42520152815719
291,4.016,1714,1537,702,10796.0,116.29584404256912,39.425201528157196
292,53.226,2352,881,0,10796.0,116.30311264879062,39.42430966829641
293,46.68,3469,1391,1116,10796.0,116.3159974085525,39.42430966829641
294,21.467,3508,1431,1156,10796.0,116.31716875034904,39.42430966829642
295,63.012,2291,1048,8,10796.0,116.30218183886119,39.42341781271076
296,112.293,2300,1039,17,10796.0,116.30335317128312,39.42341781271077
297,25.258,3469,1391,1116,10796.0,116.31506649550231,39.42341781271077
298,16.045,3508,1431,1156,10796.0,116.31623782792424,39.42341781271075
299,4.667,2300,1039,17,10796.0,116.30125107097945,39.422525961400076
300,56.157,2300,1039,17,10796.0,116.30242239402718,39.42252596140006
301,64.268,2501,1239,175,10796.0,116.30266297249104,39.42163411436415
302,78.175,2501,1239,175,10796.0,116.30173226995112,39.42074227160286
303,7.853,2554,1757,362,10796.0,116.29845901959736,39.419850433116004
304,60.742,2676,1415,0,10796.0,116.30197290438053,39.419850433116004
305,85.625,2690,1416,5,10796.0,116.30314419930822,39.419850433116004
306,0.0,2560,1762,362,10796.0,116.29752841988339,39.41895859890342
307,101.978,2689,1422,0,10796.0,116.30221356210426,39.418958598903416
308,14.171,3461,2194,13,10796.0,116.30272759836404,39.412715879080345
309,59.838,3474,2200,15,10796.0,116.30389881832366,39.41271587908035
310,51.022,3933,2653,464,10796.0,116.30858369816207,39.41271587908035
311,48.995,3933,2653,464,10796.0,116.30975491812166,39.41271587908035
312,22.988,4304,2695,835,10796.0,116.31326857800047,39.41271587908035
313,36.851,4434,2825,966,10796.0,116.31443979796005,39.41271587908035
314,18.734,4434,2825,966,10796.0,116.31561101791968,39.41271587908035
315,75.795,3479,2212,31,10796.0,116.3029684517739,39.41182407905571
316,30.788,4304,2695,835,10796.0,116.31233813649783,39.41182407905572
317,44.659,4434,2825,966,10796.0,116.31350934708834,39.41182407905572
318,79.762,4434,2825,966,10796.0,116.31468055767886,39.41182407905572
319,67.288,3784,2505,0,10796.0,116.30345022844615,39.41004049182443
320,54.394,3784,2505,0,10796.0,116.30462142029972,39.41004049182444
321,139.093,4217,2938,433,10796.0,116.30930618771387,39.41004049182443
322,68.015,3784,2505,0,10796.0,116.30369115170647,39.409148704617444
323,103.08,3936,2669,0,10796.0,116.30486233419217,39.40914870461745
324,101.163,4217,2938,433,10796.0,116.3083758816493,39.40914870461745
325,28.425,3815,3018,459,10796.0,116.29807623265673,39.40825692168267
