,POP_2015,active_living,food_choices,health_wellbeing,mobility,ID_HDC_G0,lng,lat
166,64.774,1549,553,1752,365,5157.0,38.75731798110162,9.156041605491538
167,60.268,1647,649,1851,464,5157.0,38.758323685103726,9.156041605491538
168,55.981,1762,641,1965,578,5157.0,38.75932938910582,9.156041605491536
169,24.067,1357,65,1561,174,5157.0,38.754246176361995,9.15522885682234
170,53.027,1567,288,1770,383,5157.0,38.75525187894478,9.15522885682234
171,77.06,1547,353,1751,364,5157.0,38.756257581527564,9.15522885682234
172,57.399,1653,454,1856,469,5157.0,38.75726328411036,9.15522885682234
173,53.466,1745,579,1948,561,5157.0,38.758268986693146,9.155228856822342
174,72.875,1814,589,2017,630,5157.0,38.75927468927593,9.15522885682234
175,18.176,1390,32,1593,206,5157.0,38.754191488699426,9.154416108864226
176,50.614,1525,153,1728,341,5157.0,38.755197189863026,9.154416108864224
177,51.998,1620,271,1824,436,5157.0,38.75620289102661,9.154416108864226
178,53.551,1725,427,1928,541,5157.0,38.75720859219021,9.154416108864226
179,27.847,1811,513,2015,628,5157.0,38.75821429335382,9.154416108864226
180,21.484,1537,114,1741,354,5157.0,38.75413680610753,9.153603361617126
181,66.377,1647,244,1851,464,5157.0,38.75514250585206,9.153603361617128
182,60.656,1734,339,1938,550,5157.0,38.75614820559662,9.153603361617128
183,65.483,1832,437,2036,649,5157.0,38.757153905341156,9.153603361617128
184,54.631,1935,582,2139,751,5157.0,38.758159605085694,9.153603361617126
185,72.605,2018,616,2221,834,5157.0,38.75916530483024,9.153603361617128
186,17.704,1537,114,1741,354,5157.0,38.754082128586234,9.152790615080981
187,48.639,1743,320,1946,559,5157.0,38.75508782691186,9.152790615080981
188,72.554,1823,407,2026,639,5157.0,38.756093525237475,9.152790615080983
189,83.473,1937,532,2140,753,5157.0,38.757099223563095,9.152790615080981
190,39.441,1988,587,2192,805,5157.0,38.7581049218887,9.152790615080981
191,59.137,2084,682,2287,900,5157.0,38.75911062021432,9.152790615080981
192,35.188,1786,362,1989,602,5157.0,38.75503315304232,9.151977869255726
193,78.664,1887,471,2091,704,5157.0,38.75603884994914,9.151977869255726
194,64.453,1976,569,2180,793,5157.0,38.757044546855965,9.151977869255724
195,50.023,2055,654,2259,872,5157.0,38.75805024376279,9.151977869255726
196,29.383,2149,747,2352,965,5157.0,38.759055940669626,9.151977869255726
197,13.822,2236,812,2439,738,5157.0,38.75296709326705,9.151165124141288
198,26.311,1884,461,2088,701,5157.0,38.75497848424338,9.151165124141286
199,49.028,1969,545,2172,785,5157.0,38.75598417973156,9.151165124141288
200,41.602,2040,631,2244,857,5157.0,38.75698987521972,9.151165124141288
201,24.792,2298,880,2502,1043,5157.0,38.75799557070789,9.151165124141286
202,2.734,2346,927,2549,1059,5157.0,38.75900126619606,9.151165124141288
203,22.159,2232,809,2436,734,5157.0,38.75090104423647,9.150352379737607
204,20.32,2232,809,2436,734,5157.0,38.751906738306104,9.150352379737605
205,28.218,2211,788,2414,713,5157.0,38.75291243237575,9.150352379737607
206,1.046,2114,696,2317,833,5157.0,38.75592951458465,9.150352379737605
207,12.877,2254,836,2457,914,5157.0,38.75693520865429,9.150352379737605
208,29.619,2254,836,2457,914,5157.0,38.75794090272393,9.150352379737607
209,11.122,2346,927,2549,1059,5157.0,38.75894659679357,9.150352379737607
210,30.007,2232,809,2436,734,5157.0,38.750846391252175,9.149539636044619
211,40.64,2232,809,2436,734,5157.0,38.75185208390342,9.149539636044617
212,49.044,2110,687,2314,613,5157.0,38.75285777655467,9.149539636044619
213,30.665,1968,545,2172,470,5157.0,38.753863469205896,9.149539636044619
