,POP_2015,active_living,food_choices,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
193,70.558,1852,1976,660,740,1524,8157.0,80.19968152192995,21.80764182703474
194,18.763,1218,1703,652,1642,2094,8157.0,80.18163406293024,21.806809798864126
195,7.399,1102,1587,536,1526,1978,8157.0,80.18267869991472,21.80680979886413
196,0.0,992,1478,427,1417,1869,8157.0,80.18372333689919,21.806809798864126
197,0.019,827,1312,261,1251,1703,8157.0,80.18476797388368,21.806809798864126
198,25.52,740,1225,186,1164,1617,8157.0,80.18581261086818,21.806809798864126
199,69.765,584,1315,281,1254,1461,8157.0,80.18685724785269,21.80680979886413
200,77.146,658,1408,289,1347,1529,8157.0,80.18790188483716,21.806809798864126
201,83.526,769,1493,230,1433,1480,8157.0,80.18894652182163,21.80680979886413
202,68.916,895,1506,251,1434,1386,8157.0,80.18999115880612,21.806809798864123
203,73.276,1017,1581,341,1311,1461,8157.0,80.19103579579064,21.806809798864126
204,50.021,1117,1681,441,1237,1561,8157.0,80.19208043277511,21.80680979886413
205,66.858,1232,1796,434,1096,1475,8157.0,80.1931250697596,21.80680979886413
206,79.581,1317,1843,350,1011,1390,8157.0,80.19416970674408,21.806809798864126
207,59.402,1464,1803,309,971,1350,8157.0,80.1952143437286,21.806809798864126
208,45.189,1614,1913,425,878,1461,8157.0,80.19625898071305,21.806809798864126
209,54.344,1723,2014,534,812,1561,8157.0,80.19730361769756,21.80680979886413
210,72.672,1813,1938,622,701,1485,8157.0,80.19834825468206,21.806809798864126
211,78.845,1852,1976,660,740,1524,8157.0,80.19939289166653,21.80680979886413
212,52.06,1180,1666,615,1605,2057,8157.0,80.18239014372217,21.805977772533467
213,23.18,979,1464,413,1403,1856,8157.0,80.1834347769473,21.805977772533467
214,4.058,827,1312,261,1251,1703,8157.0,80.18447941017241,21.805977772533467
215,54.967,835,1320,201,1259,1711,8157.0,80.18552404339754,21.805977772533467
216,77.806,775,1260,90,1199,1651,8157.0,80.18656867662264,21.805977772533467
217,90.774,757,1413,152,1352,1634,8157.0,80.18761330984775,21.805977772533467
218,86.621,813,1502,136,1441,1488,8157.0,80.18865794307288,21.805977772533467
219,80.128,858,1547,182,1470,1442,8157.0,80.18970257629799,21.80597777253347
220,98.57,1051,1629,374,1513,1509,8157.0,80.19074720952312,21.805977772533467
221,79.939,1143,1707,466,1237,1587,8157.0,80.19179184274824,21.805977772533467
222,86.546,1264,1828,587,1358,1708,8157.0,80.19283647597335,21.805977772533467
223,92.473,1408,1934,441,1103,1482,8157.0,80.19388110919846,21.80597777253347
224,82.223,1522,1907,414,1076,1454,8157.0,80.19492574242359,21.805977772533467
225,78.505,1600,1938,445,1094,1485,8157.0,80.1959703756487,21.805977772533467
226,80.713,1733,2024,544,822,1571,8157.0,80.19701500887383,21.805977772533467
227,71.691,1733,2024,544,822,1571,8157.0,80.19805964209894,21.805977772533467
228,67.028,1180,1666,615,1605,2057,8157.0,80.18210160144723,21.805145748042676
229,68.878,1313,1798,747,1737,2189,8157.0,80.18314623091315,21.805145748042676
230,28.71,1313,1798,747,1737,2189,8157.0,80.18419086037909,21.805145748042676
