,POP_2015,community_space,food_choices,mobility,ID_HDC_G0,lng,lat
258,22.716,1092,2674,352,12356.0,121.015970663607,31.979315291464722
259,12.068,1092,2674,352,12356.0,121.01707557498077,31.979315291464726
260,12.441,828,2166,1159,12356.0,121.03143942283927,31.979315291464722
261,14.407,828,2166,1159,12356.0,121.03254433421297,31.979315291464726
262,26.234,0,1800,0,12356.0,121.04359344795029,31.979315291464726
263,22.903,1288,2870,0,12356.0,121.01194924796975,31.978454276006495
264,24.709,1288,2870,0,12356.0,121.0130541528911,31.978454276006495
265,22.669,0,1800,0,12356.0,121.04288658576739,31.97845427600649
266,25.302,1017,3398,283,12356.0,121.0583552546662,31.97845427600649
267,21.05,1017,3398,283,12356.0,121.05946015958754,31.97845427600649
268,8.474,1300,3681,0,12356.0,121.06166996943026,31.97845427600649
269,18.337,1305,3686,0,12356.0,121.06277487435162,31.978454276006495
270,24.344,1890,4271,580,12356.0,121.06829939895832,31.97845427600649
271,25.336,1890,4271,580,12356.0,121.06940430387967,31.97845427600649
272,17.463,2954,5000,1644,12356.0,121.07824354325044,31.978454276006495
273,3.465,2954,5000,1644,12356.0,121.07934844817177,31.97845427600649
274,17.595,3658,5000,1420,12356.0,121.08597787769982,31.97845427600649
275,29.83,3664,5000,1426,12356.0,121.08708278262118,31.978454276006495
276,24.257,4407,5000,1796,12356.0,121.09371221214926,31.97845427600649
277,14.147,4407,5000,1796,12356.0,121.09481711707059,31.978454276006495
278,21.11,1272,2855,1102,12356.0,121.0245013787032,31.977593263598617
279,25.035,1272,2855,1102,12356.0,121.02560627717246,31.97759326359862
280,25.835,1017,3398,283,12356.0,121.05875323124958,31.97759326359862
281,19.695,1300,3681,0,12356.0,121.06096302818807,31.977593263598624
282,15.554,1305,3686,0,12356.0,121.06206792665729,31.977593263598617
283,30.742,1890,4271,580,12356.0,121.06759241900345,31.977593263598617
284,22.553,1982,4363,672,12356.0,121.06869731747273,31.97759326359862
285,24.673,2602,4983,1292,12356.0,121.07422180981892,31.97759326359862
286,18.554,2602,4983,1292,12356.0,121.07532670828815,31.977593263598617
287,9.429,2954,5000,1644,12356.0,121.0775365052266,31.977593263598614
288,14.959,2954,5000,1644,12356.0,121.07864140369587,31.97759326359862
289,15.9,3652,5000,1414,12356.0,121.08527079451127,31.97759326359862
290,19.576,3664,5000,1426,12356.0,121.08637569298051,31.97759326359862
291,6.156,4407,5000,1796,12356.0,121.09300508379594,31.977593263598617
292,11.078,4407,5000,1796,12356.0,121.09410998226521,31.977593263598617
293,17.101,1791,3374,0,12356.0,121.00832619275752,31.976732254240975
294,15.086,1791,3374,0,12356.0,121.00943108477495,31.97673225424097
295,21.654,1982,4363,672,12356.0,121.06799036169768,31.976732254240975
296,16.306,1791,3374,0,12356.0,121.00761961599667,31.975871247933437
297,28.234,1791,3374,0,12356.0,121.00872450156254,31.975871247933444
298,8.789,1813,3396,1643,12356.0,121.02017161922514,31.975010244675897
299,17.025,1813,3396,1643,12356.0,121.02127649833972,31.975010244675893
300,18.811,1567,2905,1428,12356.0,121.02680089391271,31.975010244675897
301,28.24,1677,3015,1538,12356.0,121.02790577302727,31.975010244675893
302,27.524,1888,4354,609,12356.0,121.06436678380888,31.9750102446759
303,25.262,4714,5000,1424,12356.0,121.09419851990292,31.975010244675897
304,1.899,1813,3396,1643,12356.0,121.01946502627943,31.974149244468226
305,1.173,1813,3396,1643,12356.0,121.02056989894307,31.974149244468226
306,8.929,1821,3159,1682,12356.0,121.02498938959748,31.974149244468226
307,8.543,1821,3159,1682,12356.0,121.02609426226107,31.974149244468222
308,31.072,1677,3015,1538,12356.0,121.02719913492467,31.974149244468222
309,25.741,1677,3015,1538,12356.0,121.02830400758829,31.974149244468226
310,1.506,1405,3886,604,12356.0,121.0592404421692,31.97414924446823
311,0.136,1405,3886,604,12356.0,121.06034531483282,31.97414924446822
312,17.469,1681,4147,406,12356.0,121.06255506016004,31.97414924446822
