,POP_2015,active_living,community_space,education,food_choices,health_wellbeing,mobility,ID_HDC_G0,lng,lat
481,75.571,2029,1600,800,2961,3039,2015,3569.0,28.739074214905777,41.205100736341485
482,55.483,1952,1702,774,2883,2961,1937,3569.0,28.740265052298405,41.20510073634149
483,62.165,1950,1830,825,2882,2960,1936,3569.0,28.74145588969103,41.205100736341485
484,55.587,1878,1910,799,2809,2887,1863,3569.0,28.742646727083656,41.20510073634149
485,67.678,1971,2079,902,2903,2981,1957,3569.0,28.743837564476287,41.2051007363415
486,43.872,1991,2202,923,2923,3001,1977,3569.0,28.7450284018689,41.20510073634149
487,13.928,1978,2255,949,2910,2988,1964,3569.0,28.74621923926152,41.205100736341485
488,16.392,2088,2192,1058,3019,3097,2073,3569.0,28.747410076654152,41.20510073634149
489,0.919,2072,2957,1692,3207,3181,2259,3569.0,28.750982588832027,41.2051007363415
490,7.956,2018,2903,1638,3153,3128,2206,3569.0,28.752173426224648,41.20510073634149
491,72.105,2084,2969,1704,3219,3193,2271,3569.0,28.753364263617275,41.20510073634149
492,0.48,2156,3042,1777,3291,3266,2344,3569.0,28.754555101009895,41.205100736341485
493,80.332,2473,3098,2279,3602,3576,2661,3569.0,28.756936775795147,41.205100736341485
494,69.077,2522,3147,2328,3651,3626,2710,3569.0,28.75812761318777,41.20510073634149
495,50.262,2572,3196,2377,3700,3675,2759,3569.0,28.7593184505804,41.2051007363415
496,3.237,2459,3066,2247,3587,3562,2646,3569.0,28.760509287973026,41.205100736341485
497,17.875,2445,3029,2210,3573,3548,2632,3569.0,28.76170012536565,41.20510073634149
498,51.682,2479,3034,2215,3608,3583,2667,3569.0,28.762890962758267,41.20510073634149
499,74.026,2578,3010,2191,3707,3682,2766,3569.0,28.764081800150898,41.20510073634149
500,85.218,2679,3018,2199,3794,3782,2867,3569.0,28.765272637543518,41.205100736341485
501,101.986,2678,2951,2132,3758,3776,2865,3569.0,28.766463474936145,41.20510073634149
502,50.617,2655,2928,2109,3735,3754,2843,3569.0,28.76765431232877,41.205100736341485
503,32.367,2846,3091,2300,3926,3944,3033,3569.0,28.768845149721393,41.20510073634149
504,8.123,2846,3091,2300,3926,3944,3033,3569.0,28.77003598711402,41.20510073634149
505,0.585,1164,2058,1166,3839,3917,3588,3569.0,28.712628293097673,41.20420003573518
506,1.796,1261,2013,1127,3757,3835,3506,3569.0,28.71381912022552,41.20420003573518
