,POP_2015,community_space,education,food_choices,nightlife,ID_HDC_G0,lng,lat
351,7.872,4150,3497,2722,5000,4733.0,36.10129733549149,-0.25112274329244283
352,12.746,4087,3449,2732,5000,4733.0,36.102295118815434,-0.25112274329244233
353,27.408,3709,3071,1669,5000,4733.0,36.10828181875913,-0.25112274329244183
354,34.615,3709,3071,1669,5000,4733.0,36.109279602083085,-0.25112274329244283
355,17.617,3584,2945,1529,5000,4733.0,36.11027738540703,-0.25112274329244233
356,51.922,4014,3232,1386,5000,4733.0,36.111275168730984,-0.25112274329244283
357,63.59,4014,3232,1386,5000,4733.0,36.11227295205493,-0.25112274329244183
358,21.894,3918,3340,1494,5000,4733.0,36.114268518702836,-0.2511227432924419
359,25.69,3864,3394,1548,5000,4733.0,36.11526630202679,-0.2511227432924424
360,17.865,3798,3217,1644,5000,4733.0,36.11726186867468,-0.25112274329244233
361,17.462,3773,3192,1669,5000,4733.0,36.118259651998635,-0.25112274329244233
362,13.113,4013,3360,2859,5000,4733.0,36.1012987154648,-0.25193151418580073
363,0.02,4087,3449,2732,5000,4733.0,36.10229649882688,-0.25193151418580023
364,1.978,3977,3338,2621,5000,4733.0,36.103294282188976,-0.2519315141858003
365,26.552,3823,3184,2467,5000,4733.0,36.10528984891316,-0.2519315141858003
366,42.397,3823,3184,2467,5000,4733.0,36.10628763227524,-0.25193151418580023
367,28.836,3756,3118,1776,5000,4733.0,36.107285415637335,-0.25193151418580023
368,64.426,3703,3065,1703,5000,4733.0,36.10828319899942,-0.25193151418580073
369,59.855,3542,2903,1571,5000,4733.0,36.10928098236152,-0.25193151418580073
370,54.324,3576,2938,1536,5000,4733.0,36.11027876572361,-0.25193151418580073
371,25.845,3731,3093,1676,5000,4733.0,36.11127654908571,-0.2519315141857998
372,10.49,3862,3459,1626,5000,4733.0,36.11327211580987,-0.25193151418580023
373,7.05,3845,3463,1642,5000,4733.0,36.114269899171966,-0.25193151418580073
374,27.472,3598,3422,1814,5000,4733.0,36.116265465896156,-0.25193151418580023
375,22.777,3598,3422,1814,5000,4733.0,36.11726324925824,-0.25193151418580023
376,57.64,3593,3322,1849,5000,4733.0,36.11925881598242,-0.2519315141858012
377,14.663,4003,3328,2970,5000,4733.0,36.10030231647512,-0.25274028509839175
378,26.164,3964,3311,2885,5000,4733.0,36.10130009987548,-0.25274028509839175
379,8.749,3977,3338,2621,5000,4733.0,36.10329566667619,-0.25274028509839225
380,25.104,3803,3165,2448,5000,4733.0,36.10429345007653,-0.2527402850983922
381,65.951,3764,3125,2408,5000,4733.0,36.10529123347689,-0.25274028509839175
382,45.314,3717,3078,2361,5000,4733.0,36.10628901687724,-0.25274028509839225
383,61.506,3615,2977,1909,5000,4733.0,36.1072868002776,-0.25274028509839225
384,52.589,3556,2918,1875,5000,4733.0,36.10828458367794,-0.25274028509839225
385,15.34,3502,2863,1611,5000,4733.0,36.10928236707831,-0.25274028509839175
386,38.163,3502,2863,1611,5000,4733.0,36.11028015047865,-0.25274028509839175
387,23.428,3748,3126,1709,5000,4733.0,36.111277933879016,-0.25274028509839225
388,46.546,3707,3217,1801,5000,4733.0,36.11227571727936,-0.25274028509839225
389,30.726,3845,3463,1642,5000,4733.0,36.11327350067971,-0.25274028509839225
390,29.145,3777,3395,1711,5000,4733.0,36.11427128408007,-0.25274028509839175
391,19.756,3672,3290,1816,5000,4733.0,36.11526906748042,-0.25274028509839225
392,61.684,3598,3422,1814,5000,4733.0,36.11626685088077,-0.25274028509839225
393,30.741,3598,3422,1814,5000,4733.0,36.11726463428113,-0.25274028509839225
394,12.969,3593,3322,1849,5000,4733.0,36.119260201081836,-0.25274028509839175
395,27.572,3814,3161,3022,5000,4733.0,36.10030370528479,-0.2535490560302785
396,18.843,3825,3187,2754,5000,4733.0,36.10130148872353,-0.25354905603027894
397,23.819,3723,3085,2576,5000,4733.0,36.103297055601004,-0.253549056030279
398,47.924,3723,3085,2576,5000,4733.0,36.104294839039746,-0.25354905603027894
399,42.03,3717,3078,2361,5000,4733.0,36.10529262247849,-0.253549056030279
400,60.506,3564,2926,2013,5000,4733.0,36.10629040591723,-0.253549056030279
401,50.412,3534,2895,1998,5000,4733.0,36.10728818935596,-0.253549056030279
402,29.905,3555,2917,1874,5000,4733.0,36.10828597279469,-0.2535490560302785
403,39.527,3404,2766,1708,5000,4733.0,36.10928375623344,-0.253549056030279
404,11.884,3707,3217,1801,5000,4733.0,36.111279323110914,-0.25354905603027894
405,18.531,3707,3217,1801,5000,4733.0,36.112277106549655,-0.2535490560302795
406,36.443,3672,3290,1816,5000,4733.0,36.11427267342714,-0.253549056030279
407,27.751,3570,3392,1918,5000,4733.0,36.115270456865865,-0.25354905603027855
408,5.082,3570,3392,1918,5000,4733.0,36.116268240304606,-0.253549056030279
409,40.611,3418,3363,1993,5000,4733.0,36.117266023743355,-0.253549056030279
410,57.004,3418,3363,1993,5000,4733.0,36.11826380718209,-0.253549056030279
411,0.48,3335,3279,2077,5000,4733.0,36.11926159062082,-0.253549056030279
412,9.911,3814,3161,3022,5000,4733.0,36.10030509853171,-0.2543578269815228
413,6.832,3825,3187,2754,5000,4733.0,36.10130288200896,-0.2543578269815233
414,10.135,3640,3001,2568,5000,4733.0,36.102300665486204,-0.2543578269815228
415,19.17,3591,2953,2519,5000,4733.0,36.10329844896346,-0.25435782698152276
416,49.861,3681,3042,2537,5000,4733.0,36.1042962324407,-0.25435782698152276
417,82.633,3533,2895,2216,5000,4733.0,36.10529401591794,-0.2543578269815228
418,58.773,3508,2870,2112,5000,4733.0,36.1062917993952,-0.2543578269815233
419,15.744,3430,2792,1965,5000,4733.0,36.10728958287244,-0.2543578269815223
420,38.008,3430,2792,1965,5000,4733.0,36.10828736634968,-0.2543578269815233
421,38.953,3288,2650,1824,5000,4733.0,36.10928514982693,-0.2543578269815233
422,43.958,3497,3099,2008,5000,4733.0,36.11327628373592,-0.2543578269815228
423,5.02,3483,3085,2020,5000,4733.0,36.114274067213174,-0.2543578269815228
424,8.599,3570,3392,1918,5000,4733.0,36.11527185069042,-0.2543578269815233
425,14.193,3335,3279,2077,5000,4733.0,36.11826520112215,-0.25435782698152276
426,27.983,3335,3279,2077,5000,4733.0,36.1192629845994,-0.2543578269815233
427,12.746,3610,2957,3087,5000,4733.0,36.100306496215886,-0.2551665979521859
428,22.045,3537,2899,2748,5000,4733.0,36.101304279731764,-0.25516659795218544
429,60.608,3557,2918,2576,5000,4733.0,36.10230206324765,-0.25516659795218544
430,50.84,3539,2901,2472,5000,4733.0,36.10329984676352,-0.2551665979521859
431,57.305,3485,2847,2369,5000,4733.0,36.104297630279405,-0.25516659795218544
432,97.642,3420,2782,2299,5000,4733.0,36.105295413795275,-0.2551665979521859
433,31.507,3303,2665,2274,5000,4733.0,36.10629319731116,-0.25516659795218494
434,32.368,3148,2509,1965,5000,4733.0,36.108288764342916,-0.2551665979521859
435,25.458,3148,2509,1965,5000,4733.0,36.109286547858794,-0.25516659795218494
436,31.764,3532,2977,2190,5000,4733.0,36.11128211489054,-0.25516659795218494
437,29.843,3532,2977,2190,5000,4733.0,36.11227989840643,-0.2551665979521859
438,56.199,3316,3251,2187,5000,4733.0,36.114275465438176,-0.2551665979521859
439,9.064,3316,3251,2187,5000,4733.0,36.115273248954054,-0.25516659795218544
440,26.852,3155,3099,2257,5000,4733.0,36.119264383017565,-0.25516659795218494
441,11.563,3503,2865,2991,5000,4733.0,36.10030789833732,-0.25597536894232903
442,40.562,3537,2899,2748,5000,4733.0,36.10130568189195,-0.25597536894232903
443,81.083,3487,2849,2704,5000,4733.0,36.10230346544658,-0.25597536894232903
444,50.412,3389,2751,2511,5000,4733.0,36.10330124900122,-0.25597536894232853
445,44.416,3379,2741,2419,5000,4733.0,36.10429903255585,-0.2559753689423295
446,51.391,3303,2665,2287,5000,4733.0,36.10529681611048,-0.25597536894232853
447,21.515,3303,2665,2274,5000,4733.0,36.10629459966511,-0.25597536894232903
448,30.183,3136,2498,1976,5000,4733.0,36.10829016677437,-0.2559753689423281
449,55.285,3136,2498,1976,5000,4733.0,36.109287950329005,-0.25597536894232903
450,49.164,3294,2655,2111,5000,4733.0,36.110285733883636,-0.25597536894232903
451,24.915,3532,2977,2190,5000,4733.0,36.111283517438274,-0.25597536894232903
452,70.872,3417,2862,2243,5000,4733.0,36.1122813009929,-0.25597536894232853
453,43.772,3411,2868,2237,5000,4733.0,36.11327908454753,-0.2559753689423295
454,49.97,3316,3251,2187,5000,4733.0,36.11427686810215,-0.25597536894232853
455,63.729,3190,3134,2313,5000,4733.0,36.11527465165679,-0.25597536894232903
456,47.227,3121,3065,2382,5000,4733.0,36.11627243521143,-0.25597536894232903
457,30.182,3369,2731,2858,5000,4733.0,36.100309304896015,-0.2567841399520144
458,44.294,3363,2725,2852,5000,4733.0,36.10130708848952,-0.2567841399520138
459,69.133,3422,2784,2682,5000,4733.0,36.10230487208303,-0.2567841399520144
460,30.753,3361,2722,2491,5000,4733.0,36.103302655676536,-0.2567841399520143
461,48.984,3260,2622,2460,5000,4733.0,36.104300439270034,-0.2567841399520138
462,48.005,3180,2541,2418,5000,4733.0,36.105298222863546,-0.2567841399520148
463,55.551,3137,2498,2422,5000,4733.0,36.106296006457065,-0.2567841399520144
464,64.256,3013,2375,2099,5000,4733.0,36.108291573644074,-0.2567841399520149
465,60.94,3013,2375,2099,5000,4733.0,36.109289357237586,-0.2567841399520143
466,57.903,3401,2763,2218,5000,4733.0,36.11028714083109,-0.2567841399520138
467,2.866,3360,2722,2318,5000,4733.0,36.111284924424595,-0.2567841399520144
468,9.622,3405,2874,2232,5000,4733.0,36.11228270801811,-0.2567841399520144
469,32.864,3405,2874,2232,5000,4733.0,36.11328049161161,-0.2567841399520138
470,13.759,3121,3065,2382,5000,4733.0,36.11527605879862,-0.2567841399520143
471,19.57,3121,3065,2382,5000,4733.0,36.11627384239213,-0.2567841399520148
472,56.265,3364,2696,2827,5000,4733.0,36.10031071589196,-0.25759291098130377
473,60.69,3318,2679,2806,5000,4733.0,36.101308499524464,-0.2575929109813042
474,40.888,3300,2662,2788,5000,4733.0,36.10230628315697,-0.25759291098130377
475,42.764,3107,2469,2596,5000,4733.0,36.10330406678948,-0.2575929109813042
476,35.749,3107,2469,2596,5000,4733.0,36.10430185042199,-0.2575929109813042
477,52.492,3180,2541,2451,5000,4733.0,36.1052996340545,-0.25759291098130327
478,84.652,3137,2498,2422,5000,4733.0,36.106297417686996,-0.25759291098130377
479,86.832,2956,2317,2358,5000,4733.0,36.10729520131951,-0.25759291098130327
480,71.647,2904,2266,2208,5000,4733.0,36.10829298495201,-0.2575929109813042
481,66.022,3042,2404,2365,5000,4733.0,36.10929076858452,-0.2575929109813037
482,51.798,3042,2404,2365,5000,4733.0,36.11028855221703,-0.2575929109813042
483,36.195,3360,2722,2318,5000,4733.0,36.111286335849535,-0.25759291098130377
484,48.513,3278,2640,2415,5000,4733.0,36.11228411948204,-0.2575929109813042
485,22.638,3028,2972,2475,5000,4733.0,36.11627525401206,-0.2575929109813028
486,37.109,3012,2956,2491,5000,4733.0,36.11727303764457,-0.2575929109813042
487,23.474,2960,2905,2527,5000,4733.0,36.11926860490958,-0.2575929109813042
488,60.772,3347,2661,2792,5000,4733.0,36.10031213132517,-0.2584016820302594
489,35.117,3212,2574,2701,5000,4733.0,36.1013099149968,-0.25840168203025843
490,70.662,3162,2523,2650,5000,4733.0,36.102307698668426,-0.2584016820302594
491,56.55,3105,2466,2593,5000,4733.0,36.103305482340055,-0.258401682030259
492,52.859,2979,2341,2468,5000,4733.0,36.10430326601169,-0.258401682030259
493,10.89,2946,2308,2435,5000,4733.0,36.10530104968331,-0.2584016820302594
494,20.065,2864,2226,2353,5000,4733.0,36.10629883335494,-0.2584016820302594
495,62.257,2893,2255,2378,5000,4733.0,36.10729661702656,-0.2584016820302594
496,11.729,2835,2197,2277,5000,4733.0,36.10829440069819,-0.258401682030259
