,POP_2015,community_space,education,food_choices,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
268,34.597,1102,836,2104,267,1860,963,4507.0,33.432151767369184,-3.6577961915202657
269,45.71,1044,748,2163,175,1955,1038,4507.0,33.433150800725954,-3.6577961915202652
270,39.678,859,562,1978,320,2090,853,4507.0,33.43414983408271,-3.6577961915202657
271,51.933,859,562,1978,320,2090,853,4507.0,33.43514886743947,-3.6577961915202657
272,56.193,1148,851,1990,609,2084,1142,4507.0,33.43714693415299,-3.6577961915202666
273,48.269,50,1008,1775,925,2157,1383,4507.0,33.40819358161793,-3.6586055916607
274,57.362,292,767,1534,684,1916,1141,4507.0,33.40919261553134,-3.6586055916607005
275,35.857,298,854,1446,597,1829,1054,4507.0,33.41019164944477,-3.6586055916607
276,19.02,540,823,1268,419,1651,876,4507.0,33.411190683358186,-3.6586055916607005
277,40.161,582,866,1226,376,1608,833,4507.0,33.4121897172716,-3.6586055916607005
278,22.93,625,908,1183,333,1565,791,4507.0,33.41318875118501,-3.6586055916607
279,10.775,756,817,1053,203,1435,660,4507.0,33.414187785098434,-3.6586055916607005
280,24.688,672,751,1059,677,1006,383,4507.0,33.41618585292526,-3.6586055916607005
281,15.338,607,687,995,613,941,319,4507.0,33.41718488683868,-3.6586055916607005
282,32.094,590,951,1259,877,973,583,4507.0,33.4181839207521,-3.6586055916607005
283,52.679,541,959,1267,885,935,591,4507.0,33.419182954665516,-3.6586055916607005
284,54.977,390,860,1168,786,790,492,4507.0,33.42018198857893,-3.6586055916607005
285,46.183,438,843,1176,869,696,455,4507.0,33.421181022492355,-3.6586055916607005
286,55.333,210,800,1134,968,653,412,4507.0,33.422180056405765,-3.6586055916607
287,66.59,318,876,1209,1093,729,488,4507.0,33.42317909031918,-3.6586055916607005
288,51.715,242,824,1158,1113,677,436,4507.0,33.424178124232604,-3.6586055916607005
289,73.531,181,807,1254,1061,773,532,4507.0,33.42517715814602,-3.6586055916607
290,40.918,272,705,1356,959,875,634,4507.0,33.42617619205944,-3.6586055916607
291,49.164,401,573,1488,827,1008,573,4507.0,33.42717522597286,-3.6586055916607005
292,54.666,490,484,1558,738,1078,484,4507.0,33.42817425988627,-3.6586055916607
293,51.744,663,409,1550,607,1196,409,4507.0,33.429173293799685,-3.6586055916607005
294,33.499,1124,828,2141,383,1897,1000,4507.0,33.43117136162652,-3.6586055916607
295,31.362,1081,784,2149,340,1933,1016,4507.0,33.432170395539934,-3.6586055916607005
296,38.624,978,682,2098,242,2022,972,4507.0,33.43316942945336,-3.6586055916607005
297,32.416,752,456,1872,213,1983,746,4507.0,33.43416846336677,-3.6586055916607005
298,50.571,792,495,1911,253,2023,786,4507.0,33.43516749728019,-3.6586055916607014
299,56.632,926,630,1958,387,1973,920,4507.0,33.43616653119361,-3.6586055916607
300,50.234,1086,789,1928,547,2022,1080,4507.0,33.43716556510702,-3.6586055916607005
301,32.841,248,817,1670,916,2052,1277,4507.0,33.4082122005766,-3.6594149920812113
302,55.301,383,675,1528,775,1911,1136,4507.0,33.40921123504679,-3.659414992081212
303,48.784,292,767,1534,684,1916,1141,4507.0,33.41021026951698,-3.659414992081212
304,44.526,464,747,1281,431,1663,889,4507.0,33.411209303987185,-3.6594149920812113
305,63.606,464,747,1281,431,1663,889,4507.0,33.41220833845739,-3.6594149920812113
306,25.37,756,817,1053,203,1435,660,4507.0,33.41320737292757,-3.659414992081212
307,15.61,756,817,1053,203,1435,660,4507.0,33.41420640739777,-3.659414992081212
308,60.657,492,752,1060,678,757,384,4507.0,33.42020061421894,-3.659414992081211
