,POP_2015,education,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
113,39.356,1660,205,1146,1025,7845.0,78.93450028879334,22.05067311798466
114,50.973,1485,31,971,913,7845.0,78.93554603510587,22.05067311798466
115,123.952,1516,0,1002,957,7845.0,78.93659178141839,22.050673117984662
116,172.022,1454,631,1519,1247,7845.0,78.94600349823111,22.050673117984662
117,49.596,1454,631,1519,1247,7845.0,78.94704924454362,22.050673117984662
118,128.458,2180,700,1666,1433,7845.0,78.92689230087322,22.049840548917185
119,175.633,2180,700,1666,1433,7845.0,78.92793804337302,22.04984054891719
120,133.857,2101,622,1587,1359,7845.0,78.9289837858728,22.04984054891719
121,94.053,1869,389,1355,1121,7845.0,78.93002952837261,22.049840548917185
122,71.303,1846,367,1332,1101,7845.0,78.9310752708724,22.04984054891719
123,40.325,1794,326,1279,1063,7845.0,78.9321210133722,22.049840548917185
124,60.17,1660,205,1146,1025,7845.0,78.933166755872,22.04984054891719
125,78.676,1660,205,1146,1025,7845.0,78.93421249837178,22.04984054891719
126,104.032,1516,0,1002,957,7845.0,78.93525824087159,22.04984054891719
127,89.585,1516,0,1002,957,7845.0,78.93630398337139,22.049840548917192
128,65.309,2228,748,1714,1485,7845.0,78.92660455094402,22.04900798171448
129,66.91,2188,708,1674,1445,7845.0,78.92765028963129,22.04900798171448
130,151.803,2104,625,1590,1362,7845.0,78.92869602831853,22.04900798171448
131,128.42,1824,344,1310,1081,7845.0,78.93078750569302,22.049007981714478
132,171.351,1896,416,1382,1153,7845.0,78.93183324438027,22.04900798171448
133,143.091,1940,463,1426,1200,7845.0,78.93287898306752,22.04900798171448
134,37.048,1701,184,1187,1142,7845.0,78.9360161991293,22.049007981714478
135,107.048,1896,416,1382,1153,7845.0,78.93154548919212,22.048175416376452
136,205.867,1940,463,1426,1200,7845.0,78.93259122406702,22.048175416376452
137,108.314,1909,393,1395,1305,7845.0,78.93363695894192,22.048175416376456
138,58.458,1866,350,1352,1267,7845.0,78.9346826938168,22.048175416376456
139,60.505,1701,254,1187,1212,7845.0,78.93572842869169,22.04817541637646
140,34.404,2088,593,1574,1346,7845.0,78.93125774780731,22.04734285290302
141,108.091,2088,593,1574,1346,7845.0,78.93230347887004,22.04734285290302
