,POP_2015,active_living,community_space,education,food_choices,mobility,nightlife,ID_HDC_G0,lng,lat
83,114.491,436,1508,1470,2085,725,2413,11825.0,110.26616878175162,21.38437552451291
84,54.141,1810,1663,1452,927,2388,1810,11825.0,110.23137027014928,21.383544421978442
85,104.217,1810,1663,1452,927,2388,1810,11825.0,110.23241301694148,21.38354442197844
86,127.182,611,749,156,638,1670,793,11825.0,110.24284048486345,21.38354442197844
87,123.94,526,668,71,597,1585,708,11825.0,110.24388323165564,21.383544421978442
88,122.429,454,649,0,526,1513,636,11825.0,110.24492597844784,21.38354442197844
89,145.036,356,831,528,291,1415,538,11825.0,110.24596872524002,21.383544421978442
90,149.184,357,832,547,253,1416,539,11825.0,110.24701147203221,21.38354442197844
91,110.316,311,787,585,161,1371,493,11825.0,110.24805421882441,21.383544421978442
92,116.633,344,663,621,37,1403,526,11825.0,110.24909696561663,21.383544421978442
93,166.6,452,526,706,99,1511,634,11825.0,110.25013971240882,21.38354442197844
94,106.278,650,328,683,297,1468,832,11825.0,110.25118245920102,21.383544421978442
95,119.325,653,325,680,301,1465,835,11825.0,110.25222520599321,21.38354442197844
96,102.075,901,180,536,548,1321,1083,11825.0,110.25326795278541,21.383544421978442
97,121.441,1071,350,410,718,1182,1253,11825.0,110.2543106995776,21.383544421978442
98,106.113,1094,372,380,747,1152,1282,11825.0,110.2553534463698,21.383544421978442
99,153.167,1094,372,334,794,1106,1329,11825.0,110.256396193162,21.383544421978442
100,48.977,941,525,487,947,953,1482,11825.0,110.2574389399542,21.38354442197844
101,121.688,828,605,567,1173,716,1569,11825.0,110.25848168674642,21.383544421978442
102,96.856,705,728,690,1296,593,1693,11825.0,110.2595244335386,21.38354442197844
103,109.162,520,789,751,1357,408,1736,11825.0,110.2605671803308,21.383544421978442
104,89.302,123,1054,1016,1631,424,1914,11825.0,110.2626526739152,21.38354442197844
105,139.076,70,1142,1104,1719,440,2050,11825.0,110.26369542070736,21.383544421978442
106,30.381,611,749,156,638,1670,793,11825.0,110.24245271698881,21.382713321241102
107,103.586,526,668,71,597,1585,708,11825.0,110.24349546011325,21.382713321241102
108,100.647,454,649,0,526,1513,636,11825.0,110.24453820323768,21.382713321241102
109,116.661,337,732,117,408,1396,519,11825.0,110.24558094636215,21.382713321241102
110,116.826,194,670,524,0,1254,376,11825.0,110.24766643261103,21.382713321241102
111,106.47,194,670,524,0,1254,376,11825.0,110.24870917573547,21.382713321241102
112,160.227,305,673,634,0,1364,487,11825.0,110.24975191885991,21.382713321241106
113,76.309,818,285,639,506,1421,1000,11825.0,110.25288014823323,21.382713321241102
114,114.436,775,328,596,469,1378,957,11825.0,110.2539228913577,21.382713321241106
115,128.308,975,483,492,669,1177,1157,11825.0,110.25496563448215,21.382713321241102
116,104.272,1029,502,481,723,1128,1211,11825.0,110.25600837760658,21.382713321241102
117,78.561,1049,632,594,899,961,1386,11825.0,110.25705112073102,21.382713321241106
118,80.402,781,698,660,1266,669,1476,11825.0,110.25809386385546,21.382713321241102
119,154.925,631,802,764,1370,519,1625,11825.0,110.2591366069799,21.3827133212411
120,104.19,520,789,751,1357,408,1736,11825.0,110.26017935010434,21.382713321241102
121,59.361,404,905,867,1473,292,1710,11825.0,110.2612220932288,21.382713321241102
122,37.44,321,1034,927,1602,270,1739,11825.0,110.26226483635322,21.3827133212411
123,84.385,35,1159,1121,1736,405,2015,11825.0,110.26330757947765,21.382713321241102
124,125.259,175,1247,1209,1824,345,2033,11825.0,110.2643503226021,21.382713321241106
125,0.0,1091,944,732,282,1743,1091,11825.0,110.23789401017692,21.381882222300806
