,POP_2015,active_living,education,food_choices,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
293,17.567,2198,1151,1923,2439,1401,3433,10975.0,118.12791610278464,39.83948860280236
294,20.925,1953,922,1678,2195,1157,3189,10975.0,118.13026759732493,39.83948860280236
295,7.697,1938,921,1663,2179,1141,3173,10975.0,118.13144334459503,39.83948860280235
296,20.547,1188,373,1371,1144,164,2095,10975.0,118.1420250700261,39.839488602802355
297,147.611,1188,373,1371,1144,164,2095,10975.0,118.14320081729623,39.839488602802355
298,54.147,1303,1408,2694,2618,1349,3160,10975.0,118.1526067954572,39.83948860280235
299,40.237,578,580,758,1060,1657,1223,10975.0,118.1561340372676,39.83948860280236
300,114.087,468,689,648,1164,1766,1175,10975.0,118.1573097845377,39.839488602802355
301,178.282,338,750,518,1034,1725,1045,10975.0,118.15848553180783,39.839488602802355
302,178.853,321,733,789,1305,1915,1132,10975.0,118.15966127907798,39.83948860280236
303,195.966,212,624,815,1331,2022,1022,10975.0,118.16083702634805,39.839488602802355
304,330.629,296,708,899,1415,2106,1106,10975.0,118.16201277361819,39.839488602802355
305,384.173,334,657,937,1454,2116,1062,10975.0,118.1631885208883,39.839488602802355
306,281.572,574,83,1127,1455,2105,1043,10975.0,118.16436426815844,39.83948860280237
307,283.739,658,0,1211,1539,2189,1127,10975.0,118.16554001542855,39.83948860280236
308,131.464,518,0,1657,1537,1749,1643,10975.0,118.16906725723892,39.83948860280237
309,76.236,518,0,1657,1537,1749,1643,10975.0,118.17024300450905,39.83948860280236
310,109.494,394,123,1703,1413,1625,1598,10975.0,118.17141875177917,39.839488602802355
311,148.947,394,123,1703,1413,1625,1598,10975.0,118.17259449904928,39.83948860280236
312,213.255,561,290,1644,1354,1458,1651,10975.0,118.17377024631942,39.83948860280236
313,106.574,651,380,1630,1340,1444,1637,10975.0,118.17494599358953,39.83948860280235
