,POP_2015,community_space,food_choices,health_wellbeing,mobility,ID_HDC_G0,lng,lat
169,86.254,3535,1707,46,947,8195.0,77.48424673991644,10.014713941738746
170,141.872,3444,1790,138,990,8195.0,77.48525401648944,10.014713941738748
171,100.957,3584,2361,156,965,8195.0,77.48626129306246,10.014713941738746
172,144.833,3584,2361,156,965,8195.0,77.48726856963548,10.014713941738748
173,70.354,3652,2716,441,1034,8195.0,77.48928312278147,10.014713941738748
174,156.309,3457,2859,650,838,8195.0,77.49029039935446,10.014713941738748
175,82.329,3178,2580,617,559,8195.0,77.49129767592748,10.014713941738746
176,162.363,3178,2580,617,559,8195.0,77.49230495250046,10.014713941738746
177,130.562,3357,880,187,117,8195.0,77.47808314734786,10.013900405585325
178,109.739,3349,885,179,125,8195.0,77.47909042236165,10.013900405585325
179,126.87,3411,1564,55,804,8195.0,77.48211224740297,10.013900405585323
180,138.08,3411,1564,55,804,8195.0,77.48311952241674,10.013900405585327
181,121.514,3292,1801,183,1041,8195.0,77.48412679743055,10.013900405585327
182,122.945,3374,1720,208,960,8195.0,77.48513407244431,10.013900405585325
183,157.207,3270,1970,91,658,8195.0,77.48714862247188,10.013900405585325
184,167.985,3303,2081,18,685,8195.0,77.48815589748564,10.013900405585325
185,104.816,3680,2744,470,1062,8195.0,77.48916317249942,10.013900405585325
186,123.677,3060,2462,499,441,8195.0,77.49017044751321,10.013900405585327
187,116.425,3060,2462,499,441,8195.0,77.49117772252698,10.013900405585327
188,37.821,3178,2580,617,559,8195.0,77.49218499754076,10.013900405585327
189,91.51,3456,780,279,19,8195.0,77.47796322447905,10.013086870212332
190,136.117,3438,796,269,38,8195.0,77.47897049793376,10.013086870212332
191,148.891,3356,1619,0,859,8195.0,77.48199231829781,10.01308687021233
192,123.311,3322,1727,0,966,8195.0,77.4829995917525,10.01308687021233
193,160.5,3322,1727,0,966,8195.0,77.48400686520719,10.013086870212332
194,143.003,3265,1828,156,1068,8195.0,77.48501413866188,10.013086870212332
195,142.67,3434,1956,324,1195,8195.0,77.48602141211657,10.01308687021233
196,120.417,3195,1895,167,734,8195.0,77.48702868557126,10.013086870212332
197,136.051,3252,1991,70,637,8195.0,77.48803595902596,10.01308687021233
198,118.62,3135,2537,574,516,8195.0,77.48904323248063,10.013086870212332
199,146.895,3097,2499,536,479,8195.0,77.49005050593533,10.013086870212332
200,79.768,2990,2392,429,372,8195.0,77.49105777939,10.013086870212332
201,86.82,3469,765,284,8,8195.0,77.47784331187192,10.012273335619696
202,113.032,3469,765,284,8,8195.0,77.47885058376765,10.012273335619696
203,153.814,3145,1845,177,1144,8195.0,77.4838869432463,10.012273335619694
204,163.095,3145,1845,177,1144,8195.0,77.48489421514202,10.012273335619696
205,131.361,3367,1983,258,1223,8195.0,77.48590148703776,10.012273335619696
206,114.728,3192,1893,169,736,8195.0,77.48690875893351,10.012273335619694
207,88.982,3192,1893,169,736,8195.0,77.48791603082924,10.012273335619696
208,41.148,3135,2537,574,516,8195.0,77.48892330272497,10.012273335619694
209,61.439,3213,2615,652,595,8195.0,77.48993057462071,10.012273335619696
210,11.543,2922,2325,361,304,8195.0,77.49093784651642,10.012273335619694
211,78.47,3078,1778,222,1137,8195.0,77.4837670315477,10.011459801807355
212,120.65,3078,1778,222,1137,8195.0,77.48477430188461,10.011459801807355
213,112.832,2951,1651,0,978,8195.0,77.48578157222153,10.011459801807355
214,164.592,2951,1651,0,978,8195.0,77.48678884255844,10.011459801807357
215,97.564,2618,2629,666,0,8195.0,77.49283246457988,10.011459801807353
216,75.244,2618,2629,666,0,8195.0,77.4938397349168,10.011459801807357
217,98.695,3231,472,14,103,8195.0,77.47659624866374,10.010646268775245
218,176.234,3219,472,17,100,8195.0,77.47760351744196,10.010646268775243
219,96.367,2903,1603,47,1025,8195.0,77.48566166766771,10.010646268775243
220,201.049,2951,1651,0,978,8195.0,77.48666893644594,10.010646268775245
221,3.426,2618,2629,666,0,8195.0,77.49271254911527,10.010646268775245
222,103.83,2618,2629,666,0,8195.0,77.49371981789346,10.010646268775245
