,POP_2015,community_space,education,food_choices,ID_HDC_G0,lng,lat
74,5.655,488,1172,223,11822.0,105.77421167432465,-5.56322517941122
75,20.527,509,1540,591,11822.0,105.77721373801361,-5.563225179411219
76,21.952,211,1815,889,11822.0,105.77921511380632,-5.56322517941122
77,14.508,211,1815,889,11822.0,105.78021580170261,-5.563225179411219
78,3.126,275,1386,436,11822.0,105.77330088674458,-5.56403541157635
79,6.484,275,1386,436,11822.0,105.77430157549144,-5.564035411576352
80,15.642,275,1386,436,11822.0,105.77339080036654,-5.564845644168964
81,13.142,275,1386,436,11822.0,105.77439148996406,-5.5648456441689635
82,1.614,270,1563,1008,11822.0,105.77839424835402,-5.5648456441689635
83,29.075,270,1563,1008,11822.0,105.77939493795152,-5.5648456441689635
84,21.196,270,1563,1008,11822.0,105.77848417953567,-5.565655877189117
85,21.574,270,1563,1008,11822.0,105.77948486998395,-5.565655877189118
86,19.437,35,1478,676,11822.0,105.77357066752796,-5.5664661106368785
87,5.815,35,1478,676,11822.0,105.77457135882715,-5.566466110636878
88,19.248,0,1557,940,11822.0,105.78657965441712,-5.566466110636878
89,16.762,0,1557,940,11822.0,105.7875803457163,-5.566466110636877
90,11.252,0,1442,712,11822.0,105.7736606210676,-5.567276344512303
91,21.981,0,1442,712,11822.0,105.77466131321782,-5.567276344512304
92,12.808,0,1292,1192,11822.0,105.77766338966835,-5.5672763445123055
93,20.89,0,1292,1192,11822.0,105.77866408181853,-5.567276344512304
94,15.875,156,1285,868,11822.0,105.77375058791334,-5.568086578815464
95,22.635,156,1285,868,11822.0,105.77475128091467,-5.568086578815464
96,20.556,0,1292,1192,11822.0,105.77775335991868,-5.568086578815464
97,3.533,0,1292,1192,11822.0,105.77875405292002,-5.568086578815464
98,14.13,156,1285,868,11822.0,105.7738405680653,-5.568896813546418
99,1.701,156,1285,868,11822.0,105.77484126191787,-5.56889681354642
100,25.833,169,1123,1293,11822.0,105.77784334347574,-5.5688968135464165
101,20.323,370,1071,1083,11822.0,105.77393056152347,-5.569707048705229
102,20.222,370,1071,1083,11822.0,105.77402056828812,-5.570517284291961
103,25.092,370,1071,1083,11822.0,105.77502126384364,-5.570517284291961
104,22.126,386,906,1434,11822.0,105.77702265495473,-5.570517284291962
105,23.536,386,906,1434,11822.0,105.77802335051028,-5.570517284291961
106,10.889,386,906,1434,11822.0,105.77711267758079,-5.571327520306678
107,1.352,386,906,1434,11822.0,105.77811337398799,-5.571327520306679
108,0.0,1020,1429,813,11822.0,105.78311685602395,-5.571327520306678
109,38.888,554,1002,386,11822.0,105.78711964165274,-5.571327520306677
110,0.0,1020,1429,813,11822.0,105.78320689706767,-5.572137756749441
111,0.0,482,550,1251,11822.0,105.77638212633838,-5.573758230919361
112,0.0,482,550,1251,11822.0,105.77647220134081,-5.574568468646639
113,26.982,764,1063,447,11822.0,105.78347710004621,-5.57456846864664
114,4.826,740,1040,424,11822.0,105.78447779986128,-5.574568468646641
115,51.375,316,616,0,11822.0,105.78747989930646,-5.57456846864664
116,8.49,394,461,1634,11822.0,105.77456088831579,-5.575378706802219
117,1.221,247,314,1487,11822.0,105.77556158898312,-5.57537870680222
118,1.425,207,100,1531,11822.0,105.77756299031782,-5.575378706802218
119,28.784,316,616,0,11822.0,105.78756999699122,-5.575378706802219
120,12.371,394,461,1634,11822.0,105.77465098822803,-5.576188945386162
121,28.988,247,314,1487,11822.0,105.77565168974778,-5.576188945386163
122,46.665,207,100,1531,11822.0,105.77765309278728,-5.576188945386162
123,47.639,106,0,1430,11822.0,105.77865379430702,-5.576188945386162
124,50.111,0,0,1324,11822.0,105.77965449582678,-5.576188945386162
125,35.602,204,204,1120,11822.0,105.78065519734652,-5.576188945386163
126,29.293,204,204,1120,11822.0,105.78165589886628,-5.576188945386163
127,12.342,427,427,896,11822.0,105.78265660038603,-5.5761889453861615
128,25.819,427,427,896,11822.0,105.78365730190575,-5.576188945386163
129,40.138,99,0,1320,11822.0,105.77874391093658,-5.576999184398529
130,40.501,99,0,1320,11822.0,105.77974461330886,-5.57699918439853
131,42.26,204,204,1120,11822.0,105.78174601805344,-5.576999184398529
132,23.769,427,427,896,11822.0,105.78274672042572,-5.576999184398529
133,13.898,427,427,896,11822.0,105.78374742279797,-5.57699918439853
134,33.625,39,339,276,11822.0,105.78775023228714,-5.576999184398529
135,18.928,36,598,1707,11822.0,105.77483122797418,-5.577809423839384
136,23.434,19,542,1651,11822.0,105.77583193119911,-5.577809423839384
137,0.974,253,312,1417,11822.0,105.77683263442408,-5.577809423839384
138,20.178,253,312,1417,11822.0,105.777833337649,-5.577809423839385
139,7.109,211,111,1209,11822.0,105.77883404087395,-5.5778094238393825
140,8.941,211,111,1209,11822.0,105.77983474409892,-5.577809423839384
141,6.019,341,242,1078,11822.0,105.78083544732385,-5.577809423839385
142,12.386,401,326,993,11822.0,105.7818361505488,-5.577809423839384
143,17.445,584,884,901,11822.0,105.78283685377372,-5.577809423839384
144,4.1,522,566,754,11822.0,105.78383755699868,-5.577809423839384
145,26.386,5,305,310,11822.0,105.78784036989843,-5.577809423839385
146,9.551,139,652,1650,11822.0,105.77492136780832,-5.578619663708791
147,23.725,124,638,1650,11822.0,105.77592207188604,-5.578619663708791
148,7.981,253,312,1417,11822.0,105.77792348004151,-5.578619663708791
149,0.552,211,111,1209,11822.0,105.77892418411923,-5.578619663708792
150,0.422,211,111,1209,11822.0,105.77992488819697,-5.578619663708791
151,0.611,341,242,1078,11822.0,105.78092559227468,-5.57861966370879
152,3.518,401,326,993,11822.0,105.78192629635241,-5.578619663708791
153,1.178,584,884,901,11822.0,105.78292700043013,-5.578619663708791
154,0.451,161,675,1673,11822.0,105.77501152094996,-5.579429904006812
155,7.225,161,675,1673,11822.0,105.77601222588059,-5.579429904006812
156,1.759,729,1228,1244,11822.0,105.78001504560316,-5.57942990400681
157,2.937,694,993,1010,11822.0,105.78201645546444,-5.579429904006811
158,8.272,694,993,1010,11822.0,105.78301716039508,-5.579429904006812
159,3.14,248,762,1726,11822.0,105.77510168739923,-5.58024014473351
160,22.678,285,799,1762,11822.0,105.77610239318292,-5.580240144733509
161,17.111,729,1228,1244,11822.0,105.78010521631761,-5.58024014473351
162,38.234,790,1289,1305,11822.0,105.78110592210128,-5.5802401447335095
163,41.926,782,1081,1098,11822.0,105.78210662788496,-5.58024014473351
164,13.752,782,1081,1098,11822.0,105.78310733366864,-5.5802401447335095
165,19.277,299,0,616,11822.0,105.788110862587,-5.580240144733509
166,18.07,299,0,616,11822.0,105.7891115683707,-5.58024014473351
167,7.967,322,835,1799,11822.0,105.77519186715621,-5.581050385888948
168,23.943,322,835,1799,11822.0,105.77619257379303,-5.581050385888947
169,27.752,160,160,861,11822.0,105.78829125759263,-5.58186062747319
170,12.531,160,160,861,11822.0,105.78929196508278,-5.58186062747319
171,0.872,1039,1380,1397,11822.0,105.78237722499848,-5.5826708694862965
172,7.24,1039,1380,1397,11822.0,105.78337793334202,-5.5826708694862965
173,13.447,160,160,861,11822.0,105.78838147505972,-5.5826708694862965
174,12.168,160,160,861,11822.0,105.78938218340329,-5.582670869486297
175,23.027,0,1238,2202,11822.0,105.7764631954715,-5.583481111928332
176,0.436,0,1238,2202,11822.0,105.77746390466855,-5.583481111928334
177,0.0,999,1420,1437,11822.0,105.78246745065397,-5.583481111928334
178,0.015,999,1420,1437,11822.0,105.78346815985104,-5.583481111928332
179,16.922,0,0,1022,11822.0,105.78847170583647,-5.583481111928332
180,9.319,0,0,1022,11822.0,105.78947241503354,-5.583481111928335
181,14.45,0,1238,2202,11822.0,105.77655342931395,-5.584291354799363
182,1.614,0,1238,2202,11822.0,105.77755413936472,-5.584291354799362
